a,b,c,Lmax,k_learning,n,Gmax,growth_rate,Year,R2,RMSE,AIC,Country
0.21473025601069937,0.017495455227946138,2.1062251521418985e-17,0.6822321795035814,55.19140769719552,0.04865327414039392,0.21214391581529424,0.7587021026218749,1816,0.9831126765997856,0.0026689923620704225,-234.14235351380103,FRACNP
0.2229806020029893,0.017619861032149086,2.4017980230172615e-17,0.761549306763248,56.41027648664623,0.0465457264020011,0.20646674660940403,0.8378675267883658,1817,0.9811761299085894,0.00299779493400906,-224.73209850918437,FRACNP
0.22692356184208964,0.018119106780184826,2.515758585700473e-31,0.8690642500118728,58.50911552575891,0.04476963753766837,0.20132400608394926,0.8477213532371621,1818,0.9806745585806139,0.003128097322521695,-221.28571543988357,FRACNP
0.229112838545461,0.018247539371087147,2.8751403863707062e-33,0.886364427302987,58.62487328258917,0.044931729842683274,0.20498466158910442,0.8238916149444384,1819,0.9806545856477773,0.003089574803915309,-222.28942353842848,FRACNP
0.21411380420001408,0.01838943891362353,7.173917583616936e-29,0.843561811894732,58.94240208910531,0.044866906817053125,0.191978669499148,0.8032387258284414,1820,0.980816720167282,0.0029784164991406544,-225.2574007824614,FRACNP
0.23578121062336577,0.018051340692223947,2.948423095168117e-35,0.934159244830909,59.6409630838384,0.04349058071615529,0.20248651857104094,0.8760398422955891,1821,0.9820424329336915,0.002816784119316388,-229.7768712876255,FRACNP
0.23311768969348554,0.01785752710871274,3.489532134588971e-31,0.8813503859105367,58.61428787975739,0.044110061165716766,0.2029926030746173,0.8766652605919354,1822,0.9816127723208136,0.0028972530228612895,-227.4953277968354,FRACNP
0.23995606922195134,0.018363418952281493,1.7768173482754903e-17,0.9999999988586163,60.454512190651165,0.04307741057642364,0.20394078131818558,0.8585465422141693,1823,0.9810473566617107,0.00307232146598246,-222.7430254699001,FRACNP
0.2335665496281426,0.017997619098325264,1.783483358859401e-28,0.8844194465525171,58.61200259756809,0.0446696501441812,0.20926274507976395,0.824779377345437,1824,0.9796856198858686,0.0032609442580511833,-217.91677416347375,FRACNP
0.2045965759830322,0.017165675658922738,1.4039698352996884e-14,0.6038158550815471,54.283878673233886,0.0499292441132732,0.21033955851004857,0.7141239405304862,1825,0.9771713727535364,0.0035424445420310963,-211.20995518712795,FRACNP
0.2292402341011029,0.017754298788699066,1.3444783846365011e-20,0.8110320616607849,57.291325245357164,0.04608676239894149,0.212367391367346,0.8221324874792141,1826,0.9782337478270572,0.003511782390149044,-211.9141145423061,FRACNP
0.0004252927862984577,0.07174218824913145,0.183141247832406,6.110139221205184e-07,39.49089515027923,2.797766399592212e-16,0.32154060222714514,0.06558365450279599,1827,0.9059986598033222,0.01546566272973114,-91.83173226031732,FRACNP
0.22365391636824758,0.017461391210098806,9.89403209653055e-19,0.7595849370066375,56.36981901710993,0.046104385673476966,0.20181506159514231,0.912091967597122,1828,0.979484862766493,0.003295279051866888,-217.0683760559216,FRACNP
0.20412861713920402,0.01661889265737916,7.452904119162154e-06,0.5405525783452638,51.72453593149225,0.0516706944010008,0.20182508406340727,0.8882044235679628,1829,0.9791320811727592,0.0033924049738691237,-214.7154679819629,FRACNP
0.21119816189467977,0.01770221066893081,1.2606326207403845e-20,0.7515205735813668,57.00589121858828,0.0454472983346157,0.18509339465495406,0.9507500243684545,1830,0.9756301172406392,0.003789246229325474,-205.75459888466207,FRACNP
0.23847002213763588,0.018308701431488317,2.8234640357643553e-14,0.9999999375666165,60.421037983889356,0.042835940607433544,0.19498282274233622,0.9834773821561761,1831,0.9723218430729719,0.004449828891370614,-192.7380180494158,FRACNP
0.2145330654346652,0.017551749595721727,1.8348236974730065e-08,0.719811710526259,55.579438194067045,0.04713011474187788,0.1938372622924371,0.9529468309508149,1832,0.9712340665012777,0.0046944949643819255,-188.40250163614002,FRACNP
0.21999417048902117,0.017798487269133478,5.179010740885417e-19,0.7864328395629657,56.724236012377624,0.04583308880013569,0.19249498401976325,0.9733081082885443,1833,0.9721546719635584,0.004508574786122112,-191.67566679669233,FRACNP
0.21308068085361687,0.01841515637334564,1.98802717006643e-26,0.8138138134808093,57.55586120008689,0.04627244993044793,0.18983617436682462,0.9046626498435643,1834,0.9734518607422153,0.004307203806748061,-195.37673230650154,FRACNP
0.21496923333600423,0.01917025873355083,5.039106412115509e-34,0.9999999451299583,61.77589970742854,0.04307640736062753,0.17549046426354592,0.9301330381302766,1835,0.9759638284905798,0.0036976978065867915,-207.73559188216245,FRACNP
0.20705320484529557,0.017879937689645374,8.991769908937347e-08,0.7211507318296131,55.74496906974534,0.04715649755993671,0.18473392202611685,0.9665330384427152,1836,0.9817893691170173,0.002910835234807414,-227.11649017444688,FRACNP
0.22329396951904093,0.01889160272897708,8.769953439525812e-13,0.9999998780188974,60.855944989003646,0.0428479276258522,0.17830939510581562,0.9999999998555799,1837,0.9854531661797442,0.0023845004628873993,-243.2719733351496,FRACNP
0.21782687377366067,0.018947216163441583,3.413102280179732e-09,0.9863703914248096,61.16324226509097,0.04269246728802434,0.17340011475473185,0.990389909612789,1838,0.9866902604133367,0.00210870032346761,-253.22831963997038,FRACNP
0.21555553366797636,0.018995767377673275,1.9440349303745944e-37,0.9887488057063661,61.36302692322185,0.04232086330152975,0.16870121887306797,0.9999987992823401,1839,0.9885962822280415,0.0017862043801075223,-266.6726094713097,FRACNP
0.19652165884545642,0.01900954113764007,5.414916588147632e-26,0.8764812087429816,60.61333637303319,0.04321236113668071,0.15892815104203534,0.9451754244195083,1840,0.9889525309462163,0.00164509358020837,-273.33855632701574,FRACNP
