a,b,c,Lmax,k_learning,n,Gmax,growth_rate,Year,R2,RMSE,AIC,Country
0.21503003154074748,0.01755349201433386,3.465027457164841e-17,0.6920637869816405,55.39279184263312,0.048427887113271756,0.21140463803348608,0.7607237912511395,1816,0.9831053825650924,0.002669979399111877,-234.1124039261856,FRACNP
0.22313805944938325,0.017668290647846342,2.6880478534953792e-18,0.7696111925162259,56.576324192954665,0.04640526670787299,0.20598443243004827,0.8375481911624884,1817,0.9811846706482023,0.0029955641401665134,-224.79239668500014,FRACNP
0.22721355901470405,0.018171865739213578,2.6273926634347905e-28,0.8796390409189617,58.70934569582046,0.04462882320121373,0.200870965777693,0.8471790035150902,1818,0.9806770715657832,0.003127605681988316,-221.29844714509937,FRACNP
0.2298353161376162,0.018321440473835004,8.700185639640339e-33,0.9042227006278427,58.947019543624144,0.04468057401893772,0.2042817241487364,0.8248243121053423,1819,0.9806779963921596,0.003085280951580813,-222.40207462176585,FRACNP
0.21442010522313362,0.018440768400370993,6.70486660958848e-28,0.8542195261517114,59.14941520237072,0.04470850558726382,0.19141738977316133,0.8038200026033313,1820,0.9808195055877736,0.0029772574556816683,-225.28892786808598,FRACNP
0.23571324385718606,0.01808917341915794,1.96948915352667e-34,0.9404643115492108,59.767505862405216,0.043415497587613636,0.20199461591683354,0.8751342153666926,1821,0.9820572263767743,0.002813149476938837,-229.88145727197144,FRACNP
0.23334178947374257,0.017913885446863825,4.606147836845357e-33,0.8923025784883615,58.826988206136996,0.04396808284731567,0.20244771641994985,0.8758170750564793,1822,0.9816305247038738,0.0028936266690148616,-227.5967751470087,FRACNP
0.2394750452997985,0.01838485396993645,4.094498481058248e-24,0.999999999257428,60.470387970301964,0.04309345037665745,0.20362271642094423,0.8564840042085512,1823,0.9810463961367246,0.0030719352805983983,-222.75320766684933,FRACNP
0.23364092789609242,0.01803969855164966,1.4024968312911463e-31,0.8919543633135505,58.75878974443618,0.04457192589660148,0.20883387294723404,0.8239261643726927,1824,0.9796882860729914,0.003259736266413278,-217.9467855475379,FRACNP
0.20469885965350323,0.01722214857653374,1.0579646847325755e-12,0.6116679196430316,54.45908926969524,0.049704098914267025,0.20943434785822818,0.7167392769451996,1825,0.9771780292930056,0.0035403095841885666,-211.2587869233144,FRACNP
0.2294977473102014,0.017810194260845645,2.2025902923137015e-26,0.8216411775128221,57.49740189609178,0.0459094885800554,0.21172045562718403,0.822510828718963,1826,0.9782378787281575,0.00351008792952477,-211.9532070652328,FRACNP
0.0004229124604383727,0.07182911015176206,0.18155153515295866,0.00039851739213685335,42.133577073684584,9.967432261918496e-16,0.3179865490003845,0.06623326119473755,1827,0.9059581442600014,0.015472566606009923,-91.79558190524716,FRACNP
0.2235615726664857,0.017504517773649628,2.6681295263757054e-19,0.765182665746767,56.496422332671926,0.04601487557963276,0.2013545794769731,0.9107771142488074,1828,0.9794970222070271,0.003292233506023063,-217.14327207433757,FRACNP
0.23799960081358404,0.01832938044756991,6.754351291076857e-33,0.9999999986954081,60.48956398012739,0.042716414490567366,0.19498810440752992,0.9642928918976617,1829,0.9794436022655498,0.00334253268653676,-215.91510168820253,FRACNP
0.2109547797975761,0.01772990358534858,1.84268829741222e-19,0.7537359490238267,57.067145771312354,0.04542105816294233,0.18477242371758482,0.9492651999191746,1830,0.9756123042978575,0.0037914274885688624,-205.7079850848428,FRACNP
0.23797342325595955,0.01833048805987876,2.4259961202016678e-20,0.9999999999909797,60.43979071656952,0.04285320214385788,0.19464854778765775,0.9814286745014966,1831,0.9723055169935273,0.00445147137364569,-192.70812554790928,FRACNP
0.23485845143955306,0.01840058795162658,3.648675038172979e-21,0.9999999999907694,60.56925464102724,0.0427283594303752,0.19023272954302003,0.9981281401538418,1832,0.9714312884402856,0.004660434046965878,-188.9923396774122,FRACNP
0.21953020914091115,0.017822772341676944,3.2445724522275685e-22,0.7866820994720528,56.74879275751911,0.045848755682068996,0.1921798703916425,0.9707335629240582,1833,0.9721417659660742,0.004509880556381616,-191.65221103010208,FRACNP
0.21287366655739193,0.01845904413390024,1.720719732600531e-26,0.8189169811910784,57.67178687277876,0.04620314227909489,0.1893578165142271,0.9029482855083559,1834,0.973507414094069,0.004296168635976211,-195.58452275813198,FRACNP
0.21458397432811618,0.019188434377504636,2.37091938010501e-35,0.9999999072370805,61.79158962726331,0.04308626991892932,0.17519353124453746,0.9287911564020439,1835,0.9759728055529292,0.0036956576963435173,-207.78029389435005,FRACNP
0.210111464336455,0.018059738625572856,3.509204741004085e-08,0.7664094987543286,56.63607212645173,0.046292400017811784,0.1839428530554139,0.9732106813206123,1836,0.9818237647464925,0.0029046040891081933,-227.2900705238161,FRACNP
0.2229533925959594,0.018904544966985556,4.523969544603117e-23,0.9999999999997269,60.870577173306316,0.042843194554116795,0.17793033247724363,0.9999999999999999,1837,0.9854610148489636,0.0023820826122010136,-243.35414789051111,FRACNP
0.20492782349084573,0.01852205688338093,4.923890200410182e-08,0.8128764774464469,58.1282172973229,0.04515331487945117,0.17468299566037188,0.9597308348931719,1838,0.9865780967424844,0.002126184586613285,-252.55947815230758,FRACNP
0.2156697826236781,0.019027421260133185,3.443167809436746e-39,0.9956473753972431,61.49419161995208,0.042245446728176324,0.16833300012725372,0.9999984400479914,1839,0.9886030290262379,0.0017847108089693925,-266.74036760211783,FRACNP
0.19614503453101517,0.019028348549574376,6.606648835084209e-29,0.8764095109087533,60.63137394147601,0.043224018309825335,0.15866354554668088,0.9434329505518274,1840,0.9889553943126351,0.0016442109952346932,-273.3820241074804,FRACNP
0.19514176222875398,0.018561933234008718,3.0718156382701596e-16,0.7606366540295809,57.513079920712606,0.04571347074899987,0.16889881618369926,0.9142371451254896,1841,0.98972740681576,0.0015804064523147635,-276.5878881756044,FRACNP
0.18942867336544933,0.01837503734616951,3.680192011992122e-13,0.699314588671564,56.57951608774878,0.046820236454854496,0.17036472948876585,0.8687343573967501,1842,0.9891489038460671,0.0016601493746825912,-272.6006209898382,FRACNP
0.17149266378006067,0.017151888180953707,1.2152989489669629e-09,0.44254803764039996,50.46508216926172,0.054970943275169194,0.18044087424145838,0.7627684231557441,1843,0.9882495970689951,0.0018386639180810584,-264.3279619314496,FRACNP
0.17868912374474288,0.01765441453553499,4.831250555093449e-12,0.5485950132089216,53.33650092546031,0.05044149954708752,0.1726591779160716,0.8539030718758557,1844,0.9847544187527977,0.0023385608151357596,-244.84774320326966,FRACNP
0.18109830467352264,0.01800475519464182,5.182481365041687e-10,0.6044657554720844,54.69872014501117,0.049127042484392196,0.1696502003368947,0.8827795206664539,1845,0.9795629845550888,0.003084786916712781,-222.41504589704198,FRACNP
0.1914452697356732,0.01720023046171335,5.771811885038393e-14,0.5799320182227169,53.24475389717917,0.04889345371507503,0.17507144596938812,0.9874089653636204,1846,0.9735927683573461,0.004103030409685497,-199.31034339291472,FRACNP
0.18156252935338363,0.016465522438695594,3.017049080966675e-11,0.46352160924123365,50.41437153356002,0.05190803856730864,0.17312595092060998,0.9999999999990589,1847,0.9692346644418041,0.004808557380691639,-186.4579686378549,FRACNP
0.21532681761365494,0.018925239711335775,8.190348500087585e-35,0.989223156109006,61.842304205902856,0.04284676828885279,0.1732226428193079,0.9880232103769766,1848,0.9631033003275928,0.0054256920181843535,-176.6773535863926,FRACNP
0.17331690671822314,0.015996087388252516,4.038699544527776e-14,0.3770942580861319,48.05786616241862,0.05700828882706043,0.17739147442712688,0.9179085552850257,1849,0.9634889045996716,0.005552864690335185,-174.80070486225173,FRACNP
0.1714536715824015,0.016437747025417178,1.1625711560822819e-14,0.42851123334412156,50.15092655581286,0.052985328820464604,0.1670735181918502,0.9521045780181869,1850,0.9655231302408045,0.005170003923807478,-180.58738597275845,FRACNP
0.18591315890012358,0.015926350685676275,1.1786263504417568e-10,0.43784800711622307,49.57637298944765,0.0531246498876737,0.18096599981592223,0.9999999999999999,1851,0.9713392376645034,0.0044794101571427455,-192.20133372945253,FRACNP
0.00036743998318955565,0.07177341581959794,0.15456289780619073,7.611619885612642e-05,40.98869162377518,6.429155169060526e-19,0.2702806883722884,0.06479352491645386,1852,0.8898942290655222,0.017385328086799764,-82.35437761217997,FRACNP
0.0005757352662122815,0.06589835156955379,0.15867691999037428,4.1204428707646295e-07,42.562294819937264,1.8923679560304657e-19,0.2787636905253577,0.0670231703941495,1853,0.8925087999280692,0.01738767976320873,-82.34342165517808,FRACNP
0.0005584428773915486,0.06573014228410815,0.17320194835164693,1.3583937072408987e-07,41.17556463710759,4.497168488582666e-15,0.3089860517957993,0.05725846208367362,1854,0.8898609616772426,0.017346984579817384,-82.53322117823512,FRACNP
0.1757184094117743,0.01579705773937052,2.430493903703737e-11,0.39518039536131083,49.249474435692704,0.05498513496755516,0.17586671567071488,0.9999999999999999,1855,0.9886469201788711,0.001775052570533688,-267.1799020034351,FRACNP
0.0005617109625894126,0.0655697878187184,0.17462600096773204,0.002176473162677816,43.47965329544758,2.1960034646346325e-21,0.30996422018556713,0.057728549950828864,1856,0.8923014929182231,0.01734778974380783,-82.52946163320217,FRACNP
0.0009126640206334506,0.05924715944765492,0.17811800207633627,4.338802771691285e-11,40.45438342941712,4.1108210094893254e-10,0.3194711387440723,0.0611483363267114,1857,0.8988954297848093,0.01682710768020603,-84.99785300593896,FRACNP
0.0007151179074438435,0.062253167290512945,0.19444005511219414,0.006295261732779166,37.39007253616751,1.4440124579245432e-15,0.3468121251567149,0.05185427053978459,1858,0.9005524599396391,0.01630887711701156,-87.53166021258329,FRACNP
0.0005316173009863103,0.06650409411239694,0.18542212410246314,3.235385589616061e-07,42.19634998603788,9.831093647556247e-21,0.3352998882496164,0.050903134494394583,1859,0.91106442338868,0.014608218807536426,-96.45180672800234,FRACNP
0.19267620151862733,0.018893281575660923,1.1185626590736927e-08,0.9330755496378583,63.743438981907026,0.04016398388615534,0.14417118331007184,0.9999999999999983,1860,0.9851409993984771,0.002460840317750936,-240.71940159848043,FRACNP
0.0005674016224476446,0.06557527418755299,0.17631758200091951,8.50452843864764e-05,42.38522453386616,2.3146948430422807e-20,0.31688922972162165,0.05510626114597188,1861,0.9158614068474996,0.013818713342123503,-100.95221447701658,FRACNP
0.0005239583129545179,0.0667411959472199,0.16782551866488876,8.804117313891192e-06,42.42449798282097,6.181856000156604e-18,0.2995417216164863,0.05898738395235752,1862,0.9138197835041373,0.01434011569306784,-97.95220207573453,FRACNP
0.0005850313280807316,0.06527182631245873,0.17466435177959175,0.0001420486569020491,40.84364347530546,1.6343720466328724e-21,0.3124761532231958,0.05875102357239705,1863,0.9073676246479696,0.015597768436305589,-91.14277895786836,FRACNP
0.20929760642358733,0.01749024320441922,4.42115108403114e-09,0.7607181640513421,58.15690167098466,0.04389544523154778,0.17923086234766863,0.9879635337666477,1864,0.9836561615562329,0.0028202526559521586,-229.67719072347273,FRACNP
0.20118734727721588,0.017823192002540025,1.3318955755993622e-23,0.7700439186114499,58.84908039621537,0.043530855780573106,0.16915787156942297,0.9999999999999999,1865,0.9834829105647975,0.0028411776264221813,-229.07842672157955,FRACNP
0.1930685761720853,0.017072767531021552,1.0823351712816882e-17,0.6096836657295098,55.0148387213748,0.047036012377052384,0.1752291309767605,0.9999999999999999,1866,0.9857847326257069,0.0025335986741555692,-238.35923909045073,FRACNP
0.1779373423216852,0.015744187519903627,4.1065441381025186e-13,0.41578946390213667,50.30311019501921,0.05232558699258979,0.17507008426602125,0.9999999999999999,1867,0.9845748404615868,0.002721085230089179,-232.57664184510378,FRACNP
0.16721113636504367,0.015273717665087625,3.604697025605853e-16,0.3458187799536961,48.48465656683928,0.05518308065249659,0.1691504406527029,0.9999999999999999,1868,0.9830633367317602,0.0029558618143170584,-225.87312460644114,FRACNP
0.16189249930827096,0.015190610324022092,1.0691292495609649e-14,0.32385769401114733,47.91576415629661,0.05620744221132298,0.16485043320968285,0.9999999999999999,1869,0.9822321733025816,0.003041700698857835,-223.55437446671726,FRACNP
0.2406213631699553,0.01407805452638462,3.048399668801286e-17,0.4511221520874106,51.746645787706996,0.05300632838999073,0.3537663781890342,0.2568470011673774,1870,0.9773753346180327,0.0036709284010313864,-208.32412258735974,FRACNP
0.24799642197734514,0.01361788104122017,6.3125988508035884e-15,0.43455324832911724,51.127549893598676,0.05312793084656309,0.37220301357405344,0.2366215439313341,1871,0.9804525849791416,0.0031677131944709454,-220.26633025614308,FRACNP
0.14879321524060937,0.01662154364498717,4.453278267413774e-17,0.39915873066750235,51.41370050210155,0.0501144187995427,0.13884471258246783,0.9999999999999999,1872,0.9754937025225229,0.0038414578353999887,-204.64612814414716,FRACNP
0.20267298501194328,0.014635986225775336,8.622825066459338e-20,0.3926095557947474,51.559885931972794,0.05405074395510901,0.290369615935179,0.2930047901365131,1873,0.9797907044911993,0.0032525767114354545,-218.12488638170197,FRACNP
0.18796169226106935,0.014369558173007401,4.889056384902328e-21,0.32634834240708044,50.05015214530737,0.05739721679592586,0.2718745956660371,0.3113986232342537,1874,0.9782320396762588,0.003491779097800361,-212.3768137244033,FRACNP
0.16915363146137244,0.014385317558218057,8.131976982213398e-16,0.2744096494428072,48.7948251027916,0.06072995388787407,0.24442872616042577,0.33598980964327774,1875,0.9787380323889531,0.0034496367508408243,-213.36035141142173,FRACNP
0.14224050961253476,0.015511924611128856,2.448898145946438e-16,0.3018843955379337,48.83669777644285,0.0551211508140145,0.14356469730333102,0.9999999999999998,1876,0.9781600412316274,0.003576391734013639,-210.43742909238296,FRACNP
