a1,a2,a3,b1,b3,Year,R2,RMSE,AIC,Country
0.12474247974323467,0.0077432673261999905,8.413152798549778e-05,0.5834224035727217,0.09296474479628014,1816,0.9681084172263377,0.005040059021094681,-188.64929402189728,FRACNP
0.12898031592020195,0.007767857834425242,7.575752173249725e-05,0.5929416495001356,0.09436385446537097,1817,0.9669175596918635,0.005267012338892905,-185.08160928097777,FRACNP
0.12811805719451924,0.0076352137098669596,6.883838291740046e-05,0.5984759301709305,0.0956539103849364,1818,0.966504481278871,0.0054215785681760486,-182.73878645358087,FRACNP
0.12562173561822404,0.007907552161892992,7.417495069459106e-05,0.5835390791786077,0.09501986229374641,1819,0.9668148873865037,0.005298901599466558,-184.5926713690107,FRACNP
0.11524078956534524,0.00772364916042443,7.490704659342026e-05,0.5775661626946672,0.09416182408194787,1820,0.9673533745760138,0.005067513217201131,-188.2092684052464,FRACNP
0.13121063464559227,0.0078088496190837145,7.393198448495872e-05,0.5922724674269748,0.0944306717048146,1821,0.9687503098047969,0.004899468246834627,-190.94087428633554,FRACNP
0.13339092065181263,0.007829756300515264,7.245978248667132e-05,0.5975517356018928,0.09479783794174876,1822,0.9691624418665074,0.004857644499034119,-191.6352896136894,FRACNP
0.13429374868140753,0.007802114130375515,6.52847977730962e-05,0.6041815134009175,0.09662067251271561,1823,0.9691664937811193,0.004997389217459427,-189.3379700344571,FRACNP
0.1331332093335312,0.007786212611345719,7.734765400335702e-05,0.5959620924070773,0.09422254022970422,1824,0.9662432563786024,0.005417469043435392,-182.80020725951715,FRACNP
0.11793512447068523,0.007573053618118414,8.891708925126286e-05,0.5712255537927562,0.09156627975634866,1825,0.9619794638837733,0.00589802125926889,-175.9161651135728,FRACNP
0.12848793382914078,0.007602173007432247,8.287969677316399e-05,0.5779125845070524,0.09313357700593519,1826,0.9625782314243285,0.006035886692208127,-174.0445909513125,FRACNP
0.13029479436975763,0.007464397201541838,8.392307369228984e-05,0.5864338816174514,0.09315700587781216,1827,0.9644205997973788,0.0058538257790120805,-176.52540564672273,FRACNP
0.13070860656847846,0.007384108209325943,9.77824417563336e-05,0.596524350653636,0.09057489089664883,1828,0.9638427169856967,0.0058058990176171705,-177.19130293066524,FRACNP
0.1329230928936988,0.007424340103273856,8.90558021991769e-05,0.6179531989552011,0.0920308724620372,1829,0.9639410315492047,0.005863297755111494,-176.39444684459966,FRACNP
0.12590754663477255,0.007407945378067122,9.984625390131074e-05,0.6276609649307845,0.0896723997333175,1830,0.9599266474995749,0.006229994505625801,-171.4807236973632,FRACNP
0.14078369617935757,0.007760289931910389,7.443295751219972e-05,0.6588075044440049,0.09433875092730534,1831,0.9563989425935856,0.007008213833057434,-161.9464230823952,FRACNP
0.14098579020048485,0.007609174886440934,6.255735696518177e-05,0.6770898110969082,0.09648627612940835,1832,0.9548367002658338,0.007367520908826644,-157.89655205623666,FRACNP
0.13965719717032443,0.007668974918659743,7.375069918220998e-05,0.6734957676900678,0.09438653492791384,1833,0.9541630238566006,0.007420401710341801,-157.31724645790905,FRACNP
0.13204522101949065,0.007745873087476341,6.593719997604534e-05,0.6621419874212038,0.09610178477598401,1834,0.9547778183989197,0.007333452420795488,-158.2719765140195,FRACNP
0.11828568658221215,0.007797070558287273,5.872933074028632e-05,0.6426153710755069,0.09686031447629728,1835,0.9578430646978321,0.0064842194850055065,-168.24104748099728,FRACNP
0.1309655596427291,0.00771454936389482,5.40471798250021e-05,0.6632754462507723,0.09849257823828338,1836,0.9654940400263594,0.0055141315591576605,-181.36768733244168,FRACNP
0.13242040062543517,0.007490771708809753,5.824514908471236e-05,0.6763854333435664,0.09771593261720272,1837,0.9702138760316898,0.004880189865571048,-191.26022101340737,FRACNP
0.1279185563035059,0.007619902775613446,6.519281924950685e-05,0.675305589243385,0.09594502395578595,1838,0.9718486628324489,0.004459497139102474,-198.56221836018858,FRACNP
0.12554844398785,0.007627971002569581,6.831968830958409e-05,0.6778683520005175,0.09525264536511997,1839,0.9743364887607131,0.004018782359831123,-206.99083936245927,FRACNP
0.11442206404498127,0.007680212049449656,6.435587973683224e-05,0.6690362807899521,0.09527541020737604,1840,0.9754401426884112,0.0036562271733527104,-214.64916032616657,FRACNP
0.12228250713665999,0.007778764333898307,5.561226532362788e-05,0.6746158240711934,0.09786600382656717,1841,0.9759422161595744,0.0037012150805439802,-213.65858078165644,FRACNP
0.11806465951771666,0.007686057646563628,5.7922235590061e-05,0.653062087733177,0.0971282063471147,1842,0.9753413282323152,0.0037726214877183356,-212.11075593213405,FRACNP
0.11206777185666504,0.007477638828990588,7.721496389390181e-05,0.6261920272443157,0.09369865460164369,1843,0.9731449629315457,0.004202186764694501,-203.3761263259869,FRACNP
0.11338452821733876,0.007444688823728057,7.836301121215343e-05,0.6356343166896185,0.09290392035638334,1844,0.968766525045984,0.004790986939995453,-192.75448423029695,FRACNP
0.113973377093338,0.007675225088258726,6.323997816912734e-05,0.6535450409061446,0.09554497842115242,1845,0.9619706157937843,0.005740199549498744,-178.11312328808935,FRACNP
0.12945786784563185,0.007569903574559786,7.393929991287688e-05,0.6828691437688679,0.09362293878119575,1846,0.957552742071734,0.006595253620077519,-166.86576562871045,FRACNP
0.12924997661676838,0.007339657980926868,0.00010587007944369899,0.6940809046088813,0.08874438902728667,1847,0.9530510731434267,0.007338018736206677,-158.2215559997723,FRACNP
