a,b,c,Year,R2,RMSE,AIC,Country
1.80380006487718e-05,0.11384622660301506,0.010583215239707948,1816,0.7330221458162937,0.04219507359284774,-20.53355376596255,FRACNP
1.6426901699878967e-05,0.11507829381067997,0.010546999484580247,1817,0.7284493576826871,0.043245790366838566,-18.54124363574428,FRACNP
1.5173986809038431e-05,0.1161534683068066,0.010322154742176376,1818,0.7301856945136632,0.04367327960349742,-17.744481604553016,FRACNP
1.6213352567326505e-05,0.11562968084950663,0.010711019363019192,1819,0.7351432207842984,0.04229916283064632,-20.3339843542808,FRACNP
1.6455324925569504e-05,0.11469348072289497,0.010426600541687495,1820,0.7400988877058384,0.04035252406012904,-24.15016551836993,FRACNP
1.563710644693849e-05,0.1154669147413308,0.01059675714613577,1821,0.7242360037617763,0.04325572848564805,-18.522631531869337,FRACNP
1.588978710120753e-05,0.11532894514951171,0.010593251613021092,1822,0.7236944467144496,0.04353712878620006,-17.99739236060421,FRACNP
1.4499943812681176e-05,0.11700543217214857,0.010507171143801505,1823,0.7289980399626932,0.043930818740405296,-17.268231507124312,FRACNP
1.7072844507716892e-05,0.11468930748857632,0.010593394053231592,1824,0.7242001319472586,0.04427248043233314,-16.640709958114172,FRACNP
1.896283068762943e-05,0.11249474179818571,0.010392058762258159,1825,0.7260328345385925,0.04251300262195294,-19.925527390412213,FRACNP
1.711618979424392e-05,0.11452836715322347,0.010482719651830034,1826,0.7217618016316016,0.044891146051848456,-15.516648020180185,FRACNP
1.7459661823866703e-05,0.11448433743963599,0.010324145328112329,1827,0.7256502752888719,0.0451376576493411,-15.073067999616597,FRACNP
1.9800522253739976e-05,0.11227406106067711,0.010281255033294748,1828,0.72158127897,0.04472148387870647,-15.823360421221452,FRACNP
1.8569821009007847e-05,0.1133477145600434,0.01021813456227394,1829,0.7270358119091729,0.04437457692995566,-16.45413140243474,FRACNP
2.117365584123999e-05,0.11073917877512968,0.010153387079078213,1830,0.7254071841072808,0.0426961345073226,-19.57735567892479,FRACNP
1.61032745265053e-05,0.11513266242278075,0.01041266233156181,1831,0.7201329755898603,0.04499433882991151,-15.3306642941902,FRACNP
1.4137055809517574e-05,0.11668077969851336,0.010090405542388412,1832,0.7192734903681965,0.04581353794388598,-13.869184723700783,FRACNP
1.7158310530592065e-05,0.11418761039661525,0.010224218150258797,1833,0.719883304141695,0.04535507969113462,-14.68383854781618,FRACNP
1.5336451551118356e-05,0.11591334603309526,0.010248718263002067,1834,0.729897119008149,0.04382183421312974,-17.469427731989782,FRACNP
1.3268437852128295e-05,0.11703133353016966,0.010209354320970452,1835,0.7386861826838549,0.04020022609432776,-24.456453010856478,FRACNP
1.249519688697954e-05,0.11837115993238198,0.010109547580236862,1836,0.7378392420909917,0.0419044664739461,-21.093349225092197,FRACNP
1.3826624773621811e-05,0.11727316333204274,0.009860050994402148,1837,0.7442851751726538,0.04191648338753443,-21.070124243534963,FRACNP
1.5439297000100114e-05,0.11551796754668987,0.010022593417764951,1838,0.7482599176324858,0.03988390529068357,-25.096333044498124,FRACNP
1.7135565919564324e-05,0.11403696034149881,0.009997762216481266,1839,0.7520989406037832,0.03882961390149947,-27.266295986807677,FRACNP
1.647646777703829e-05,0.11373687980786551,0.009951093014270024,1840,0.7569867040684755,0.0361874390501509,-32.97445746312593,FRACNP
1.4885887317449231e-05,0.11571320692732849,0.010028595043758776,1841,0.7538606504545847,0.03787496243238486,-29.282623190866275,FRACNP
1.5003828725913978e-05,0.11542030712728293,0.009977415569182356,1842,0.7524767318495377,0.037888657064303215,-29.253340925714838,FRACNP
2.0112208040414794e-05,0.11195567146592017,0.009910770017280655,1843,0.758097925948145,0.03786073385886556,-29.313058362788126,FRACNP
1.9067839793442515e-05,0.1120867988355987,0.009887978294496447,1844,0.749670022614773,0.03841093171956594,-28.14442517695977,FRACNP
1.56184329025789e-05,0.11449289680562369,0.00999872112904616,1845,0.7456531893698304,0.038396661241625114,-28.174523990942646,FRACNP
1.8197406263752988e-05,0.11263238863777902,0.009982736463060278,1846,0.7288003302196638,0.04215332865819897,-20.61372932097919,FRACNP
2.5983454084693117e-05,0.10783002439413643,0.009883910866300867,1847,0.7259710722044963,0.0428478305772064,-19.290078966225366,FRACNP
9.942622476591955e-06,0.11993743215895698,0.01042265876642196,1848,0.7160388437121872,0.041753882182881785,-21.384948113787857,FRACNP
1.81030375618826e-05,0.11266998025498892,0.010277642943038278,1849,0.7274448114943005,0.0414729110372589,-21.93185730917918,FRACNP
1.701839321494043e-05,0.11266297569835472,0.009830339850181733,1850,0.7295546865663678,0.04055267501411039,-23.74939373776982,FRACNP
1.7308676988790877e-05,0.11276550601996031,0.009701232926661599,1851,0.7190889881044689,0.04391898865894208,-17.29004684474839,FRACNP
1.8528068210529326e-05,0.11165442338220062,0.009463729597388237,1852,0.7165542906183923,0.04475930896373534,-15.754880203903156,FRACNP
2.610597483576747e-05,0.10724834698127995,0.009264339737578807,1853,0.715822982537726,0.04596814768447237,-13.596289303497457,FRACNP
2.4496393182301483e-05,0.10753140708813842,0.009317380785402238,1854,0.7072434205939551,0.046127908510174474,-13.315264460586064,FRACNP
2.205820632465594e-05,0.10868578572087502,0.009079550717651381,1855,0.7188618954099426,0.043967201372535146,-17.201176677742865,FRACNP
2.4059334317876095e-05,0.10770595368763605,0.008988879286202617,1856,0.7056265878819398,0.047430460301588775,-11.05969899736695,FRACNP
3.380777204314803e-05,0.1033234681124798,0.008655883083957745,1857,0.7064925057979287,0.04885848716296187,-8.656958902924487,FRACNP
2.9171148366313232e-05,0.10507478392048523,0.008712748671944406,1858,0.7059828903702883,0.04822202670135127,-9.719047142165039,FRACNP
2.4829839700084322e-05,0.10754867744536822,0.008714496739640335,1859,0.7219988535136563,0.04568797331512322,-14.091492337511426,FRACNP
2.550571242364387e-05,0.10686939207269523,0.008196450910180512,1860,0.7426409686096018,0.04261228640888395,-19.736582589648094,FRACNP
2.346413249809656e-05,0.10828558808327374,0.008645268554650533,1861,0.7296223040825314,0.044413411157276206,-16.383275587784254,FRACNP
2.1298378883178014e-05,0.10969485873539396,0.008582548750081506,1862,0.7309545669271684,0.04476211153859298,-15.749808600654035,FRACNP
2.0816746091823863e-05,0.11003100148781306,0.008624195778203883,1863,0.7216759609330865,0.04686226433702202,-12.035902206644266,FRACNP
2.346865490530208e-05,0.10848383470162126,0.008447168061505759,1864,0.7158543882177406,0.04902969762019205,-8.373613957712848,FRACNP
2.3825250758273693e-05,0.10793007929330552,0.008169822392737166,1865,0.7219988531170651,0.047827842411542136,-10.383891499059047,FRACNP
2.4451713760504687e-05,0.10755357955926774,0.007896819399654836,1866,0.710754077386925,0.051546253782113916,-4.319292779531281,FRACNP
3.64063613934383e-05,0.10178481286529789,0.00782732574555224,1867,0.6957892561473105,0.053658295558727705,-1.066612675869294,FRACNP
3.765131415910387e-05,0.10089684769793551,0.007718086645115414,1868,0.6900493803796315,0.0540975335276566,-0.4062591183993334,FRACNP
3.897136729732265e-05,0.10028038173725845,0.007818497806538628,1869,0.6889635576642521,0.05323506116306047,-1.7080400993745002,FRACNP
3.0181165666748255e-05,0.10313969469947935,0.007947517380093697,1870,0.7008726935020111,0.048534078423423464,-9.196573090679635,FRACNP
3.6570612272621794e-05,0.10051768161931413,0.007830667735413084,1871,0.7066077970099576,0.04756423324497769,-10.831568031887628,FRACNP
3.336234385310885e-05,0.10188458404661505,0.00807966426064814,1872,0.7210342090939781,0.04373121452353225,-17.637102018252676,FRACNP
4.5391079165884764e-05,0.0974705925998977,0.0076299250687695865,1873,0.719199625054197,0.04519455020451844,-14.97103799972686,FRACNP
4.798131465388993e-05,0.09643760897476568,0.007514330423523,1874,0.7173716703878213,0.04533543737650417,-14.718925513055467,FRACNP
4.737479704546403e-05,0.09637510091200494,0.007216804001737972,1875,0.7241276389792773,0.044757799864197534,-15.757611236309714,FRACNP
4.766104009948913e-05,0.09599918534653455,0.0072192451891622475,1876,0.7022219254520625,0.048770890860447884,-8.802310692544694,FRACNP
5.55075371515438e-05,0.09371817472571209,0.007104617308909867,1877,0.6920449161168154,0.050886737995392346,-5.362345725487614,FRACNP
5.010848909970577e-05,0.0948629470056306,0.0070529667997102675,1878,0.6872200078053339,0.05163401629617906,-4.181499665630156,FRACNP
4.730390187421123e-05,0.09532398406534835,0.007163208359318511,1879,0.6765294833879681,0.05263048838762559,-2.633193322157581,FRACNP
4.259647805359126e-05,0.0961060335686918,0.006837424509580489,1880,0.6789077707858022,0.05208777491296864,-3.4727829724419905,FRACNP
4.52450492983948e-05,0.09511490675644453,0.007079052263516912,1881,0.6630140422877087,0.05381258131286416,-0.8340444669883311,FRACNP
4.880495726468491e-05,0.09392989018646251,0.0067919956160337495,1882,0.6633848364439338,0.05482215337721352,0.6715088303123764,FRACNP
5.2264938966128415e-05,0.09284851595420655,0.006681274020568343,1883,0.6585831985029373,0.056152131836423494,2.6131012108366463,FRACNP
5.1628844829773157e-05,0.09257291773543615,0.0066217793635436175,1884,0.6494377978876357,0.05731520667537951,4.273708798454123,FRACNP
5.035916040886169e-05,0.09274301720786386,0.00644291839359138,1885,0.6644068925098903,0.05457838212558881,0.3105324608600881,FRACNP
4.20627652657096e-05,0.09498476004854246,0.006574484375113771,1886,0.6542760125665847,0.05566639493521463,1.9093728106093977,FRACNP
3.797757844140589e-05,0.09602407077127574,0.006671853894504797,1887,0.6495648726571004,0.055094249438001,1.072537710069355,FRACNP
3.479845514397424e-05,0.09687387155708241,0.00651755834175146,1888,0.6524757669418262,0.0542833809828912,-0.1284674297680226,FRACNP
