Year,Age,qx
1958,27,0.0009235733091311815
1958,28,0.0011823006691541952
1958,29,0.001032466730933473
1958,30,0.0010874084498033068
1958,31,0.0012891684863263195
1958,32,0.0014219882553563141
1958,33,0.0013900332318872227
1958,34,0.0012392316763606562
1958,35,0.0012921646155760302
1958,36,0.0016156937116341438
1958,37,0.0015358197225432257
1958,38,0.0017524630898701837
1958,39,0.002037921320253342
1958,40,0.0020798348918775553
1958,41,0.0021925936284927293
1958,42,0.0023462443360273357
1958,43,0.0022404872935003397
1958,44,0.002407099445168572
1958,45,0.0023422537075279233
1958,46,0.003150030826371399
1958,47,0.0032786165116878087
1958,48,0.0032457240755152496
1958,49,0.0034560176334764523
1958,50,0.003820687204690223
1958,51,0.0039103396446361575
1958,52,0.0042798219218885105
1958,53,0.004236009070747338
1958,54,0.004109538460310222
1958,55,0.004861155793908143
1958,56,0.004825329939541219
1958,57,0.004776564903620732
1958,58,0.0050084263456592224
1958,59,0.005846857015231343
1958,60,0.0059383156958577364
1958,61,0.006215622795933676
1958,62,0.007434262765621467
1958,63,0.007733976702441124
1959,0,0.02375349486842892
1959,1,0.0018892137484008869
1959,2,0.0009885111812208862
1959,3,0.0006148109456342176
1959,4,0.0007027529823267121
1959,5,0.0006058164376194013
1959,6,0.0007387270403585876
1959,7,0.0005328579933447737
1959,8,0.0005478498891303781
1959,9,0.00036593303425473136
1959,10,0.0002539677460962458
1959,11,0.00030595318916205817
1959,12,0.0003189491276141455
1959,13,0.0005098699831542957
1959,14,0.00030595318916205817
1959,15,0.0005868277660506641
1959,16,0.0007157437637325836
1959,17,0.0008086728918152608
1959,18,0.0008366498620327392
1959,19,0.0009225742319919358
1959,20,0.0008786138492132709
1959,21,0.0007796959185917493
1959,22,0.0006617809505053827
1959,23,0.0008596303589456534
1959,24,0.0007796959185917493
1959,25,0.0007657067343207551
1959,26,0.0008985960810615628
1959,27,0.0010314677626344806
1959,28,0.00111038318214232
1959,29,0.0010054942363990913
1959,30,0.0011623241085308893
1959,31,0.0011323585188990437
1959,32,0.0013650676587890472
1959,33,0.001467921811429505
1959,34,0.0013361068125957798
1959,35,0.0015078623178811587
1959,36,0.0013650676587890472
1959,37,0.0014179939333043205
1959,38,0.0015767559395636844
1959,39,0.0017354927245687123
1959,40,0.0019610752046866
1959,41,0.0019371219602595281
1959,42,0.0018602680904078303
1959,43,0.0019680614594624296
1959,44,0.0023402583872992786
1959,45,0.002939672801635992
1959,46,0.0025986191964254505
1959,47,0.0028808443819789953
1959,48,0.0036951602583617724
1959,49,0.003197878597426222
1959,50,0.0033503780656059133
1959,51,0.0034769449004558558
1959,52,0.0037798428675303313
1959,53,0.0037888088408201234
1959,54,0.004365450576863113
1959,55,0.004179248653319948
1959,56,0.00490195589436754
1959,57,0.00451179882286151
1959,58,0.005425243338120313
1959,59,0.006057597020252472
1959,60,0.006092384718492645
1959,61,0.007061975888439316
1959,62,0.008008800617118873
1960,0,0.020285148228674884
1960,1,0.0018942042943289761
1960,2,0.0010634342529774162
1960,3,0.0008506380535082323
1960,4,0.0007647074993814866
1960,5,0.0006657782958274896
1960,6,0.000528860116499186
1960,7,0.0005388547786371573
1960,8,0.0005548460302266122
1960,9,0.0003069528827325006
1960,10,0.0003349438968972697
1960,11,0.00038592551637533953
1960,12,0.0003089522668747678
1960,13,0.00038592551637533953
1960,14,0.0004888804687253966
1960,15,0.0005408536990744004
1960,16,0.000502873527307882
1960,17,0.0006327997188889717
1960,18,0.0007926857001199025
1960,19,0.0008006793279291643
1960,20,0.000699755085719998
1960,21,0.0008076736998252705
1960,22,0.0007946841130650566
1960,23,0.0006747722643607782
1960,24,0.0009265705345572327
1960,25,0.000781694357506215
1960,26,0.0009415565268758414
1960,27,0.0007826935754652052
1960,28,0.0012332390914805565
1960,29,0.0010334656982340128
1960,30,0.0012292440149308174
1960,31,0.0010914040933650228
1960,32,0.0010374615574516826
1960,33,0.0009705288082635881
