Year,Age,qx
1888,96,0.419768693642532
1888,97,0.36341043988663346
1888,98,0.43878251576927235
1888,99,0.40868476204267584
1888,100,0.4395140022408579
1888,101,0.4700461816560067
1888,102,0.5185547316250787
1888,103,0.5705882815397909
1889,61,0.01772451623805741
1889,62,0.01951961467773623
1889,63,0.02191324507110233
1889,64,0.025839783079275366
1889,65,0.024747933145618545
1889,66,0.02766495747399107
1889,67,0.03303614148567731
1889,68,0.03633275323330085
1889,69,0.039056119272450604
1889,70,0.04315623244955746
1889,71,0.03895036779485852
1889,72,0.05227499150304964
1889,73,0.049627235005290385
1889,74,0.05800920697834972
1889,75,0.059957968989398154
1889,76,0.07137271011671088
1889,77,0.08079102117271346
1889,78,0.08258406310982815
1889,79,0.09442595772960381
1889,80,0.11612666222386538
1889,81,0.12533802498736946
1889,82,0.1289403347138635
1889,83,0.13874276727072218
1889,84,0.1479603719080777
1889,85,0.16401328336389484
1889,86,0.18134863910318666
1889,87,0.20068400997360852
1889,88,0.21993424437098708
1889,89,0.21697299070686324
1889,90,0.2390746689570436
1889,91,0.27442433717403336
1889,92,0.2787622062653916
1889,93,0.29725645446225235
1889,94,0.3353115381221981
1889,95,0.34851324905245945
1889,96,0.3587366703772895
1889,97,0.3757308196143498
1889,98,0.3532609344503164
1889,99,0.48489095381417335
1889,100,0.4499019950536373
1889,101,0.49514930188095047
1889,102,0.5277777062114163
1890,60,0.01733837590273062
1890,61,0.016626619052483034
1890,62,0.020146004332910472
1890,63,0.023056108138830887
1890,64,0.02304242896915007
1890,65,0.02378180970204558
1890,66,0.02892940314996792
1890,67,0.031008660116160644
1890,68,0.03254369474521933
1890,69,0.03274786270350609
1890,70,0.037865275905574224
1890,71,0.04500209673525126
1890,72,0.04529730295008618
1890,73,0.048441583026125515
1890,74,0.0552389916803124
1890,75,0.06519050376151152
1890,76,0.0733968373845784
1890,77,0.07499251653340802
1890,78,0.08787733350669913
1890,79,0.10774320939997482
1890,80,0.10044829420256819
1890,81,0.12259369313512301
1890,82,0.12542412279221826
1890,83,0.13663409968914397
1890,84,0.15556601759497798
1890,85,0.15114056138767995
1890,86,0.20217285388879
1890,87,0.18584231341388194
1890,88,0.2120531753265126
1890,89,0.22330482181746147
1890,90,0.2429715567843041
1890,91,0.25576350246177176
1890,92,0.27958247187009816
1890,93,0.3430231956040405
1890,94,0.32085025426525027
1890,95,0.2982988519047779
1890,96,0.30501938845947024
1890,97,0.3635262735856776
1890,98,0.3740650365855691
1890,99,0.4882179264094722
1890,100,0.4453461436811094
1890,101,0.4730399941364736
1890,102,0.503913948122468
1890,103,0.4923859838632534
1890,104,0.5540649571858633
1891,59,0.015573776998118764
1891,60,0.015585590770091699
1891,61,0.01860627774879989
1891,62,0.02203257910138962
1891,63,0.020850341650709772
1891,64,0.022852855272334716
1891,65,0.026136908130983582
1891,66,0.029789581527307114
1891,67,0.032376264751644075
1891,68,0.029886619974979562
1891,69,0.03617078833505087
1891,70,0.040772503809472956
1891,71,0.04284697265123288
1891,72,0.04580248144000906
1891,73,0.04995907351605542
1891,74,0.06177698224490804
1891,75,0.06415487535335224
1891,76,0.06786713301913633
1891,77,0.07906381253967934
1891,78,0.09196809198240222
1891,79,0.1006530429675017
1891,80,0.10568389547163735
1891,81,0.12756698863152297
1891,82,0.13042701981653881
1891,83,0.14763960661422326
1891,84,0.15461553721448443
1891,85,0.17082818497682897
1891,86,0.1778068721280528
1891,87,0.17812889282615477
1891,88,0.2165906116871276
1891,89,0.23175815402624245
1891,90,0.2337421484318942
1891,91,0.25147007653315473
1891,92,0.29334279959193826
1891,93,0.28559354251663727
1891,94,0.3298071386548183
1891,95,0.3074227973223429
1891,96,0.3290487358000473
1891,97,0.33924148176196517
1891,98,0.4295890548638768
1891,99,0.4103966418039454
1891,100,0.4398055529660662
1891,101,0.47296771090224704
1891,102,0.46186147062962934
1891,103,0.5440515405754636
1891,104,0.7703280150019982
1892,58,0.014920847450141016
1892,59,0.016013745056774248
1892,60,0.017050392202645554
1892,61,0.01695405133808504
1892,62,0.018670071912369742
1892,63,0.021823245950672185
1892,64,0.024274748304951216
1892,65,0.026490419104362145
1892,66,0.026423232550991053
1892,67,0.02822983347415059
1892,68,0.030203868975070748
1892,69,0.03647637831995028
1892,70,0.04079457535202024
1892,71,0.040331928577937465
1892,72,0.04577002035330524
1892,73,0.05035542020689628
1892,74,0.059162548047857165
1892,75,0.06344727686797455
1892,76,0.07572873355529802
1892,77,0.08545385273693944
1892,78,0.08560137721836922
1892,79,0.10002151725631707
1892,80,0.11020259100673759
1892,81,0.11316927654664694
1892,82,0.1345624079814613
1892,83,0.13958593694405594
1892,84,0.15192130880932908
1892,85,0.16430060311903683
1892,86,0.1813833671141373
1892,87,0.19665642066956343
1892,88,0.20454376110377467
1892,89,0.24245353486532797
1892,90,0.25451371843124426
1892,91,0.28565526327406415
1892,92,0.28833215941447266
1892,93,0.3453379068193589
1892,94,0.3214541242921257
1892,95,0.3574352336712636
1892,96,0.28305252657405455
1892,97,0.33132188091728904
1892,98,0.4133903507954269
1892,99,0.4497752367871437
1892,100,0.4430908849588178
1892,101,0.440509937655486
1892,102,0.48076150310418403
1892,103,0.5990782635434985
1893,57,0.013778419106657119
1893,58,0.01439760298078632
1893,59,0.0164259764886971
1893,60,0.017952396171675055
1893,61,0.018389346861128725
1893,62,0.01934407608095535
1893,63,0.021413255047251126
1893,64,0.024913738107511848
1893,65,0.025811527187783324
1893,66,0.026282028508382377
1893,67,0.02746556941151408
