Year,Age,qx
1867,81,0.0505739597618971
1867,82,0.08392687690140319
1867,83,0.04990678554434902
1867,84,0.10389157293570676
1867,85,0.07705250608132144
1867,86,0.1148908074064055
1867,87,0.16589229110774145
1867,88,0.14149452646906727
1867,89,0.1315692856148585
1867,90,0.1543030348333774
1867,91,0.08919083919872128
1867,92,0.14713336053959183
1867,93,0.057153681572345516
1867,94,0.11943558620248694
1867,95,0.2124958161230196
1867,96,0.17667807154532914
1867,97,0.15250686343700232
1867,98,0.4694613537078638
1867,99,0.13195322037254456
1867,100,0.3248213317251618
1867,101,0.18329961840208484
1867,102,0.532173652663848
1867,103,0.4568526352134655
1868,80,0.17928987753448541
1868,81,0.0368155971074441
1868,82,0.1566302094206335
1868,83,0.08371575180861304
1868,84,0.06965644710617372
1868,85,0.043433812789877506
1868,86,0.04460739382829209
1868,87,0.1184828951279996
1868,88,0.08056999393460118
1868,89,0.14659849855944368
1868,90,0.16866922686708752
1868,91,0.06240508812423859
1868,92,0.08907399392134438
1868,93,0.09699339228530636
1868,94,0.10992577205988324
1868,95,0.14865126930783162
1868,96,0.14233434266500716
1868,97,0.12981164397972342
1868,98,0.5376899449367148
1868,99,0.27814575237927974
1868,100,0.24966437314355025
1868,101,0.21582695305617694
1868,102,0.2647790933644285
1868,103,0.6594828351803984
1872,76,0.1922529905784745
1872,77,0.09390927770598169
1872,78,0.1984132524721148
1872,79,0.19147488388138426
1872,80,0.16528742148576858
1872,81,0.040260880471591626
1872,82,0.04995622151717306
1872,83,0.0749536063819138
1872,84,0.1544801608924196
1872,85,0.173097212237691
1872,86,0.21099842388961146
1872,87,0.20462193153056432
1872,88,0.11118598160011824
1872,89,0.26769934882818525
1872,90,0.2512881448702849
1872,91,0.07651063641530828
1872,92,0.25210119285354093
1872,93,0.2246351403292769
1872,94,0.29123433115280595
1872,95,0.3978884169335184
1872,96,0.17200684400637606
1872,97,0.18320637730897438
1872,98,0.2582281303124042
1872,99,0.0
1872,100,0.0
1872,101,0.0
1872,102,0.0
1872,103,0.3771430333387564
1873,75,0.11121273835904998
1873,76,0.21656198628625337
1873,77,0.07145174844595172
1873,78,0.21006898841601399
1873,79,0.13580562790959963
1873,80,0.1497756602988112
1873,81,0.027488914487699422
1873,82,0.08429944506944176
1873,83,0.0684092190964791
1873,84,0.17969587268792933
1873,85,0.12957465124750356
1873,86,0.18172230899447425
1873,87,0.19670763897185287
1873,88,0.155422274567239
1873,89,0.2899537346982922
1873,90,0.26640500939608486
1873,91,0.0787399608159015
1873,92,0.1291617381771207
1873,93,0.0980394114763351
1873,94,0.10869607360576622
1873,95,0.29860936836723495
1873,96,0.4682223145543772
1873,97,0.35545046884051446
1873,98,0.0
1873,99,0.0
1873,100,0.2374669580133785
1873,101,0.31141835792189637
1874,74,0.0983965679861259
1874,75,0.15872270594111135
1874,76,0.1563948670345888
1874,77,0.07942905266877737
1874,78,0.18214952638178225
1874,79,0.10911538745171154
1874,80,0.14007901874288872
1874,81,0.03928008246787973
1874,82,0.13597068627501235
1874,83,0.039073422973823595
1874,84,0.12243595159639883
1874,85,0.13907181554479833
1874,86,0.21791670899114482
1874,87,0.15170867601809662
1874,88,0.17983254459410267
1874,89,0.18055118382437224
1874,90,0.14501614531572518
1874,91,0.05615949600103412
1874,92,0.11902437556311708
1874,93,0.03434877237709643
1874,94,0.1384291972487845
1874,95,0.2088972135366175
1874,96,0.3386303336196427
1874,97,0.2249053763622187
1874,98,0.18576414480323475
1874,99,0.3347439439841168
1874,100,0.21582695305617694
1874,101,0.2752294052689155
1875,73,0.055803305620429615
1875,74,0.07219903773814969
1875,75,0.16869773348874986
1875,76,0.13939295834659016
1875,77,0.08510373471793099
1875,78,0.1806868998540911
1875,79,0.13702463272604995
1875,80,0.15680519043658375
1875,81,0.05549330433425681
1875,82,0.13098522777449403
1875,83,0.0592303489794948
1875,84,0.1069864976079408
1875,85,0.18081763151551536
1875,86,0.17059980086978832
1875,87,0.20438981799246292
1875,88,0.1662748607285757
1875,89,0.08892517807634076
1875,90,0.21591767173687995
1875,91,0.06227931177974318
1875,92,0.1992470151393805
1875,93,0.08017478088794797
1875,94,0.185150904702274
1875,95,0.1694536734488408
1875,96,0.18758002966931495
1875,97,0.1743304471019093
1875,98,0.21113763596472007
1875,99,0.5284162816022604
1875,100,0.0
1875,101,0.21791750294600512
1876,72,0.07857753251887438
1876,73,0.06029664853205674
1876,74,0.07562319740016694
1876,75,0.1528225333484802
1876,76,0.1460031768235565
1876,77,0.08411409675319605
1876,78,0.13077910528807263
1876,79,0.11401620720172341
1876,80,0.19970088030126207
1876,81,0.06384659469339075
1876,82,0.12246767828108159
1876,83,0.07797187592347445
1876,84,0.13241547779348625
1876,85,0.10816741961603367
1876,86,0.14552526837726507
1876,87,0.24269830161184106
1876,88,0.09500858913002377
1876,89,0.14377140173566652
1876,90,0.26894830819990534
1876,91,0.13155008473420365
1876,92,0.229382598991899
1876,93,0.34094218722716274
1876,94,0.29679315958068747
1876,95,0.2199413737691451
1876,96,0.5988142465561481
1876,97,0.0
1876,98,0.0
1876,99,0.3602773918736168
1876,100,0.0
1876,101,0.598910933468585
1877,71,0.028569964080544748
1877,72,0.07756265703910045
1877,73,0.04959585188045777
1877,74,0.08387088738813399
1877,75,0.10553586102211077
1877,76,0.1311214532773355
1877,77,0.056077309805389046
1877,78,0.13798811477813666
1877,79,0.08999558788980802
1877,80,0.17062322750541153
1877,81,0.07347292627421705
1877,82,0.1427750933139439
1877,83,0.0586425834807956
1877,84,0.09684671289743194
