Year,Age,qx
1882,95,0.2327628102605791
1882,96,0.2537631404323683
1882,97,0.2686875699558429
1882,98,0.27517883161476464
1882,99,0.2823720270543582
1882,100,0.2864836545533912
1882,101,0.3100700391472275
1882,102,0.32019727603190284
1882,103,0.32620365833297416
1882,104,0.339924524668514
1882,105,0.3735850698362241
1882,106,0.39248841988845473
1882,107,0.4242718855832302
1882,108,0.49471154533665407
1882,109,0.5517090557287873
1882,110,0.6805538375266981
1883,76,0.05529288504593154
1883,77,0.05356302587252687
1883,78,0.07405267465934806
1883,79,0.06345946505972534
1883,80,0.09910234860657074
1883,81,0.07874365204894786
1883,82,0.11118419778923554
1883,83,0.11754872842769669
1883,84,0.12833711643193674
1883,85,0.13912202846864163
1883,86,0.15314406445896583
1883,87,0.15964017284659499
1883,88,0.1693564921941361
1883,89,0.1832352583166948
1883,90,0.2054596199253202
1883,91,0.1868463864528415
1883,92,0.21646656164627273
1883,93,0.22432304535700429
1883,94,0.23088694483020938
1883,95,0.24154027004666073
1883,96,0.2663328779567693
1883,97,0.2666874664170697
1883,98,0.2619781209115751
1883,99,0.27686030161837283
1883,100,0.299551804366836
1883,101,0.3110761316212149
1883,102,0.31673210370613514
1883,103,0.32880020388637515
1883,104,0.3605495765709419
1883,105,0.37962081506693385
1883,106,0.4092922782275062
1883,107,0.47293972845814247
1883,108,0.5230172984214009
1883,109,0.5928256623569607
1883,110,0.7184276645330624
1884,75,0.062830166383517
1884,76,0.06313689506317806
1884,77,0.06493591309627186
1884,78,0.08501939396608761
1884,79,0.06889786207682311
1884,80,0.10016951237525833
1884,81,0.08282208588957056
1884,82,0.11059624858885157
1884,83,0.11733874535688667
1884,84,0.13069087795841536
1884,85,0.14243872718044026
1884,86,0.1539921304684522
1884,87,0.16049751184294697
1884,88,0.17695645614919425
1884,89,0.1806587652676842
1884,90,0.2054596199253202
1884,91,0.19755029059995438
1884,92,0.21939937670075182
1884,93,0.21758159688647152
1884,94,0.23628024448683252
1884,95,0.2572469119504501
1884,96,0.2625480948405497
1884,97,0.2565655561860976
1884,98,0.2616707082822699
1884,99,0.2887817666274798
1884,100,0.3014703322069251
1884,101,0.30678585201054365
1884,102,0.3173035462407089
1884,103,0.34713134314173144
1884,104,0.36603376346132876
1884,105,0.3946709496845729
1884,106,0.45470648115417966
1884,107,0.5023757936004271
1884,108,0.5723438010275556
1884,109,0.6693103035303197
1884,110,0.7741338566147278
1885,74,0.05076775385095195
1885,75,0.0602947673056864
1885,76,0.06558161915654523
1885,77,0.06561810271954752
1885,78,0.08007433952157374
1885,79,0.07062571055237503
1885,80,0.10212016900619895
1885,81,0.0873260004599981
1885,82,0.11138485538401684
1885,83,0.11769311998012283
1885,84,0.13187470109995217
1885,85,0.1408941927111898
1885,86,0.15362998652611484
1885,87,0.16540943704212632
1885,88,0.17427794975065203
1885,89,0.17940672326891163
1885,90,0.21304920815743036
1885,91,0.19807725833851011
1885,92,0.21801277239345387
1885,93,0.22246791665685323
1885,94,0.24416624234017523
1885,95,0.2514196286889581
1885,96,0.25137911543389624
1885,97,0.252334117015843
1885,98,0.28096138953328964
1885,99,0.29265294414926313
1885,100,0.2980454328261934
1885,101,0.3078803282204527
1885,102,0.3370735321140202
1885,103,0.3574554685645721
1885,104,0.38333411472184453
1885,105,0.4353443200847418
1885,106,0.47987237008419226
1885,107,0.5474732934808423
1885,108,0.6357616661988466
1885,109,0.675004861075916
1885,110,0.8150609310480993
1886,73,0.04760714731975509
1886,74,0.04815113556127123
1886,75,0.06055998421295827
1886,76,0.0640218300898439
1886,77,0.060735815009710856
1886,78,0.07975820315294103
1886,79,0.07259568357803337
1886,80,0.10178783113124903
1886,81,0.09049889535361097
1886,82,0.11301706870410504
1886,83,0.12076173044018339
1886,84,0.1301211307531498
1886,85,0.14098837141751033
1886,86,0.1577992332760409
