a,b,c,Year,R2,RMSE,AIC,Country
6.369751995829235e-06,0.13479318403422488,0.007874995440950607,1908,0.3458866762648073,0.07810006531831977,25.01543692056498,ESP
1.1181529696159212e-05,0.12685718944572377,0.007805768098006117,1909,0.3586197934258627,0.08068232833074086,27.16232968944479,ESP
1.174753869278504e-05,0.12553034762410215,0.007515320101347889,1910,0.36257993896578267,0.0785238041468649,25.372557850010736,ESP
6.56459082607615e-06,0.13450459851340113,0.007602364837241934,1911,0.3383624453146318,0.08289753647383752,28.94999073083494,ESP
6.92442146606505e-06,0.13344398249771164,0.007271003703632557,1912,0.36374781801048583,0.07825007799181086,25.142086494130552,ESP
7.646149557369724e-06,0.13177119636384443,0.007368896738302609,1913,0.3584372724005561,0.07841624054175637,25.282087644489167,ESP
6.426421438869279e-06,0.1346517925509916,0.007549959832834309,1914,0.3674121967127145,0.07419066269528433,21.626165939727457,ESP
1.2560965067875472e-05,0.12293169182305903,0.007218420538983953,1915,0.3643702156695743,0.07359644986154894,21.09542604384444,ESP
8.198546723193675e-06,0.13033547846051255,0.007221217585847209,1916,0.3827092551541994,0.07109800826767641,18.81595330825786,ESP
6.518308016908142e-06,0.13581657052957988,0.007512402090307698,1917,0.3943228963138067,0.07353721132918511,21.042280579840764,ESP
1.5835699030130229e-06,0.15466807647806344,0.01794093796052585,1918,0.19752456821748543,0.0554856950969001,2.4523039110688103,ESP
9.060974126114025e-06,0.12922874147025676,0.008749761569893703,1919,0.35439923462928336,0.06892699276623011,16.769197297010805,ESP
6.128285049147693e-06,0.1346007600915344,0.008745177834913083,1920,0.3244519142892075,0.07170719159559878,19.379046858988886,ESP
6.328117382142427e-06,0.13442636577957523,0.0073691877934151575,1921,0.36124363676465787,0.07462958362311532,22.015479436374847,ESP
6.999264658098634e-06,0.13287668566025157,0.0069837490637467674,1922,0.3730504727828854,0.07642256896610877,23.582389789251124,ESP
1.3317018925681551e-05,0.12289718151369163,0.006535599755902926,1923,0.4015555567110004,0.07474432643477047,22.116876354428825,ESP
1.493018949597791e-05,0.12023949194025069,0.006260539388380253,1924,0.404423334782573,0.0736775264296072,21.168094062555923,ESP
2.0960250502248372e-05,0.11478487094038389,0.005915596598047157,1925,0.42726929757577503,0.07065635341432497,18.404688155005516,ESP
1.8400305727301226e-05,0.11690326045610935,0.005897219023555816,1926,0.4396475537709825,0.06780327196563768,15.684327859095646,ESP
1.648695991831784e-05,0.11942382871067857,0.005750307546767187,1927,0.46007271628549473,0.0681361416488504,16.007551895703756,ESP
1.5386624984790776e-05,0.11930784044637166,0.0055430396270930255,1928,0.438423951436238,0.07048145405041169,18.24111236855319,ESP
2.107720098418634e-05,0.11434425988670369,0.005264604861116192,1929,0.455770535974918,0.06989631951679294,17.690895594169348,ESP
2.0185795921205233e-05,0.1140188367600482,0.005053200218502081,1930,0.4408703361084363,0.07162856804721969,19.306641274696545,ESP
2.5422532442578252e-05,0.1114581336911282,0.005096669834132207,1931,0.4681260285716221,0.06864621188651016,16.4997907095956,ESP
1.8755286996281137e-05,0.11584919298898605,0.004683836295317631,1932,0.471687578241596,0.0715160469637799,19.20288057037604,ESP
2.780065353385317e-05,0.10946978041815443,0.004642318409341136,1933,0.4898046057335662,0.06709067745462881,14.98701451890443,ESP
2.4121428668016887e-05,0.11132054348463087,0.004507313486641042,1934,0.49315209995897846,0.06649098482632476,14.394418518922464,ESP
3.208163040049816e-05,0.10649971005038801,0.004373039855044328,1935,0.5033712795267529,0.06437010946812577,12.254897490475457,ESP
0.00013619404624329944,0.08269992248234458,0.004795423482534421,1936,0.4634398715786908,0.06578932683087395,13.6942408213379,ESP
6.203065349772913e-05,0.09601739366432537,0.006402524037184459,1937,0.4121317862960959,0.06564435758801695,13.548646882449049,ESP
4.823496852821225e-05,0.10230519509643966,0.006498245554478264,1938,0.4771993046812959,0.05818479643767336,5.587227977367718,ESP
0.0001211259381291765,0.08725205739519026,0.006097730751734006,1939,0.4779867731484403,0.058595570049592094,6.051538392132386,ESP
8.600058049064664e-05,0.09039204733559507,0.005250690840518731,1940,0.4518206901133499,0.06485393394243713,12.749117663031143,ESP
0.00013548190100746667,0.08901404423868005,0.004651070615039048,1941,0.5528070595545052,0.06702375890357197,14.92115099434713,ESP
6.633923844590155e-05,0.09534102404502469,0.004331841313368435,1942,0.5112558328054972,0.06492173764745064,12.818083515925679,ESP
3.834468624972992e-05,0.10114326444895985,0.004068616145303941,1943,0.4952009360195996,0.062203548926145914,9.995233587517902,ESP
5.740956377203024e-05,0.09448509580513408,0.003736973212797458,1944,0.5261739787013331,0.05897885265052696,6.481848670352349,ESP
4.081250005545281e-05,0.09862172310608829,0.00362420996886496,1945,0.5295035551220446,0.05558963260962787,2.5758214911446373,ESP
5.3624546088043675e-05,0.09702468638030332,0.003307783982043656,1946,0.5825192036612015,0.057178425712820675,4.4356971596319,ESP
3.4272425283331575e-05,0.10261116685704633,0.003319584677164706,1947,0.580243941208499,0.053316000761360414,-0.1803538203574817,ESP
3.647248083996986e-05,0.09981944677208524,0.0029504286809005843,1948,0.5867861709840507,0.05201667809828264,-1.8087116418832352,ESP
4.132193839581744e-05,0.0990731676717948,0.0027212181555753053,1949,0.6068668699507815,0.05476236846272269,1.5862525479553824,ESP
3.066704989662379e-05,0.10312067881415171,0.0024818366163372714,1950,0.6018829897789484,0.058058759989213254,5.444107633948647,ESP
2.4094142398013337e-05,0.10936695252947784,0.002269731428333118,1951,0.6443033297661496,0.05918409294428468,6.711123134391272,ESP
