a,b,c,Lmax,k_learning,n,Gmax,growth_rate,Year,R2,RMSE,AIC,Country
0.1815270301605701,0.0140756440961105,1.734979369173214e-18,0.274059511935099,44.02978878102713,0.0636698777832919,0.194699540043211,1.0,1908,0.9084191135680244,0.0109346086568058,-94.74439291611024,ESP
0.180657718433055,0.0141209592461926,4.071190461643523e-20,0.2669442813305491,43.68002167052848,0.0648543845983956,0.1952322809380862,1.0,1909,0.9011716322485974,0.0124320999207327,-86.27336118545642,ESP
0.1789713425069521,0.0141048885304676,1.5268648418753416e-20,0.2675422134652803,43.909313579211165,0.0640697182479829,0.1928083185380552,1.0,1910,0.940771148667229,0.007296404688538,-121.44476861455982,ESP
0.3159171653355667,0.0015808151739205,4.735090795268236e-07,0.4049531579830059,35.135512957306524,2.534499411594843e-07,0.1248213648105103,1.0,1911,0.8215948842047811,0.0223526377682509,-47.55363591673665,ESP
0.170633642290084,0.014373876912468,2.217662389701519e-17,0.274647267489789,44.402071314435496,0.0612944311339637,0.1800069548699351,1.0,1912,0.9000039438547851,0.0122981097962906,-86.98855404872975,ESP
0.1333568140671299,0.0034211396800127,0.0199467707042467,0.092944701147341,41.92324039074599,1.451169036786413e-06,0.117285425717168,1.0,1913,0.8227388848646847,0.0216660813435367,-49.6125962771749,ESP
0.1620094050136125,0.0124867394462262,8.978920909547431e-17,0.1701615604972179,40.647039231024095,0.0729720809531215,0.1795875953519604,0.9999999999994196,1914,0.9104344625940006,0.0105043545580227,-97.39382922362788,ESP
0.1565694765497657,0.0114689788152449,2.955151364372018e-11,0.1324338128106601,39.69584731142885,0.0784180691879688,0.1762413148465478,0.9999999999903368,1915,0.9400770558521402,0.006938183299859,-124.7673241486851,ESP
0.1565048754912253,0.0129523296983051,1.283332657088037e-16,0.18273729676727,41.48969197619648,0.0695220240658119,0.1716795530979768,1.0,1916,0.9346271134971074,0.0075294860061859,-119.36939454905476,ESP
0.174820875339323,0.0157830950368153,3.1538601719518735e-14,0.3580291700881454,46.36934153167722,0.0572119813615283,0.1772755410724914,1.0,1917,0.91412847248735,0.0104259392131973,-97.88836953249624,ESP
0.234021149987106,0.0110743779617967,1.1496305439246546e-13,0.1693706285167239,42.02532454752117,0.1045105786853143,0.2769991701019103,0.9289168177006728,1918,0.8557819226039804,0.0099716950238364,-100.8284236214885,ESP
0.3669772421602334,0.0019885366303609,5.276548808803425e-06,0.4594537647336195,37.88547863811727,3.930349202804009e-06,0.2182563171921535,0.2378529234313293,1919,0.7553085910487038,0.0261242611214377,-37.26290981797138,ESP
0.4096907987839076,0.0018276844048403,1.1526195992692735e-06,0.5008425316684085,39.26828307058399,2.5435080390797947e-06,0.2571524713510705,0.2173697828062973,1920,0.7873700419828819,0.0225699657226547,-46.91503727017411,ESP
0.160906409814049,0.0129180725217785,2.452017368829128e-06,0.1847903962658669,41.22385478951262,0.0709863308515407,0.177273244458798,0.9996955912895938,1921,0.9336484446307606,0.0077522342397832,-117.44521003553572,ESP
0.1594723094824476,0.0149068579849436,6.233199281505349e-15,0.2748263472191201,44.80411882248796,0.0611795491992344,0.1677610518734494,1.0,1922,0.9122351774886948,0.0106981709212546,-96.18715822529497,ESP
0.4539883904867915,0.0015079537558619,9.59891175809195e-07,0.6483541168268393,28.224529623485328,4.6808545066149855e-08,0.2107112013455973,0.2247732760150562,1923,0.8082361012030392,0.0239508673040891,-42.99566263297373,ESP
0.2711462815094373,0.0023198967287962,6.103607455209708e-06,0.2937823947123694,39.594478331264696,4.817905722737886e-06,0.203613891225719,0.2119895984870816,1924,0.8016115281609364,0.0245422172003932,-41.38590617586934,ESP
