a,b,c,Lmax,k_learning,n,Gmax,growth_rate,Year,R2,RMSE,AIC,Country
0.18152703016057015,0.014075644096110583,1.734979369173214e-18,0.27405951193509903,44.02978878102713,0.06366987778329199,0.194699540043211,0.9999999999999999,1908,0.9084191135680245,0.010934608656805886,-94.74439291611023,ESP
0.18065771843305506,0.014120959246192643,4.071190461643523e-20,0.26694428133054915,43.68002167052848,0.06485438459839568,0.19523228093808626,0.9999999999999999,1909,0.9011716322485974,0.012432099920732716,-86.27336118545642,ESP
0.17897134250695215,0.014104888530467648,1.5268648418753416e-20,0.2675422134652803,43.909313579211165,0.06406971824798295,0.19280831853805525,0.9999999999999999,1910,0.940771148667229,0.007296404688538068,-121.44476861455982,ESP
0.3159171653355667,0.0015808151739205483,4.7350907952682353e-07,0.40495315798300596,35.135512957306524,2.534499411594843e-07,0.12482136481051037,0.9999999999999999,1911,0.8215948842047811,0.022352637768250947,-47.55363591673665,ESP
0.17063364229008407,0.01437387691246802,2.217662389701519e-17,0.27464726748978907,44.402071314435496,0.0612944311339637,0.18000695486993512,0.9999999999999999,1912,0.9000039438547851,0.012298109796290677,-86.98855404872975,ESP
0.13335681406712996,0.003421139680012705,0.01994677070424672,0.09294470114734109,41.92324039074599,1.451169036786413e-06,0.11728542571716805,0.9999999999999999,1913,0.8227388848646847,0.02166608134353674,-49.6125962771749,ESP
0.1620094050136125,0.01248673944622629,8.978920909547431e-17,0.17016156049721798,40.647039231024095,0.07297208095312153,0.17958759535196045,0.9999999999994195,1914,0.9104344625940006,0.010504354558022708,-97.39382922362788,ESP
0.1565694765497657,0.011468978815244906,2.955151364372018e-11,0.13243381281066013,39.69584731142885,0.07841806918796881,0.1762413148465478,0.9999999999903367,1915,0.9400770558521402,0.00693818329985904,-124.7673241486851,ESP
0.1565048754912253,0.012952329698305181,1.283332657088037e-16,0.18273729676727005,41.489691976196475,0.06952202406581197,0.1716795530979768,0.9999999999999999,1916,0.9346271134971074,0.007529486006185911,-119.36939454905476,ESP
0.17482087533932306,0.01578309503681536,3.1538601719518735e-14,0.3580291700881454,46.36934153167722,0.05721198136152832,0.1772755410724914,0.9999999999999999,1917,0.9141284724873501,0.010425939213197335,-97.88836953249623,ESP
0.23402114998710605,0.01107437796179676,1.1496305439246546e-13,0.16937062851672396,42.02532454752117,0.10451057868531433,0.2769991701019103,0.9289168177006727,1918,0.8557819226039804,0.009971695023836422,-100.8284236214885,ESP
0.3669772421602334,0.0019885366303609912,5.276548808803425e-06,0.4594537647336195,37.88547863811727,3.930349202804009e-06,0.21825631719215355,0.2378529234313293,1919,0.7553085910487038,0.026124261121437717,-37.26290981797138,ESP
0.4096907987839076,0.001827684404840389,1.1526195992692737e-06,0.5008425316684085,39.26828307058399,2.5435080390797947e-06,0.2571524713510705,0.21736978280629732,1920,0.7873700419828819,0.02256996572265475,-46.91503727017411,ESP
0.16090640981404908,0.012918072521778507,2.452017368829128e-06,0.18479039626586696,41.22385478951262,0.07098633085154074,0.17727324445879805,0.9996955912895938,1921,0.9336484446307606,0.007752234239783204,-117.44521003553572,ESP
0.15947230948244764,0.014906857984943652,6.233199281505349e-15,0.27482634721912014,44.80411882248796,0.06117954919923444,0.16776105187344942,0.9999999999999999,1922,0.9122351774886949,0.01069817092125469,-96.18715822529495,ESP
0.4539883904867915,0.0015079537558619605,9.598911758091947e-07,0.6483541168268393,28.224529623485328,4.680854506614985e-08,0.21071120134559732,0.22477327601505623,1923,0.8082361012030392,0.023950867304089126,-42.99566263297373,ESP
0.2711462815094373,0.0023198967287962106,6.1036074552097075e-06,0.29378239471236944,39.594478331264696,4.817905722737886e-06,0.203613891225719,0.2119895984870816,1924,0.8016115281609364,0.02454221720039325,-41.38590617586934,ESP
0.12011748290680184,0.012433813868449092,1.4343759687236733e-12,0.10758967658712035,38.80243577729306,0.08262175467319591,0.13656677567238157,0.9999999999122117,1925,0.9545653453174219,0.005605159641209879,-138.8485845186934,ESP
0.11770165683233362,0.013716249549388984,3.9685231131012265e-12,0.1390810480389961,40.45309574452517,0.07367572673817631,0.13071928954148487,0.9999999999974126,1926,0.9533027801708283,0.005650415764978135,-138.31783950440118,ESP
0.12264188441032722,0.017260981812326437,2.5396501731898777e-14,0.28244054975571864,46.38642156658937,0.05896840332159671,0.12486801530312154,0.9999999999999999,1927,0.9395005021276008,0.007634736159948883,-118.45320885609843,ESP
0.11670262192625046,0.014719998176205324,7.840378453494193e-17,0.17034125666947447,42.125145865349104,0.0681052096880597,0.12698323832939165,0.9999999999999999,1928,0.9517876244710367,0.006050967343063234,-133.79756408512944,ESP
0.10662327949829328,0.014971678715935027,3.2370540282719207e-13,0.1551360468518541,41.70089404851757,0.06954784017705475,0.11659319261770015,0.9999999999992353,1929,0.9435638620141803,0.00724818958491536,-121.88234816279098,ESP
0.16237816769277574,0.013515240417024482,1.5146471339406896e-16,0.19494807717503268,43.914471177742584,0.06983998324102206,0.2539879514234239,0.28113420699244485,1930,0.9524355380243801,0.00609335279680461,-133.33686290573914,ESP
0.14917539860883344,0.01429674303289579,3.135451110202526e-12,0.19481393103935465,43.899821753420994,0.07012325579652641,0.2294523751834386,0.3017825123163415,1931,0.9498481827767895,0.006472834649818235,-129.34942914361224,ESP
0.1367286425597131,0.014833161509088155,8.114389905923344e-17,0.19217681123468802,44.0530798773174,0.06967602764782911,0.20767753653512847,0.31512474767780735,1932,0.9371091105548048,0.008513348575425435,-111.26402877710998,ESP
0.13192575304482018,0.014955069585977015,9.168461158182963e-15,0.19164736366052157,44.53127260163593,0.06799030778285897,0.1987178378180382,0.31794637794168523,1933,0.9522105511476491,0.006284310941884358,-131.30025278418358,ESP
