a1,a2,a3,b1,b3,Year,R2,RMSE,AIC,Country
0.15354059085598942,0.0038730368298305375,0.0004600229261158335,0.661164151743931,0.06522250815367014,1908,0.8748916363923838,0.014937734816082958,-80.15518576456591,ESP
0.1500032288997119,0.002989262099280608,0.0007931981155580086,0.6487154204886578,0.05752522925449453,1909,0.865849171527845,0.016875483648683822,-72.10507682710264,ESP
0.15870109887424141,0.003004279541756857,0.0007144042118965637,0.6747023469280151,0.05874486101025664,1910,0.907094092952462,0.011445082599457259,-97.73299077967872,ESP
0.18063877134768755,0.0037821719932786056,0.00041053963468378927,0.6997809450027526,0.06719416910858489,1911,0.9045939015554718,0.01195356954819891,-94.86398594124611,ESP
0.13475398414295156,0.0036612337711049983,0.00037390458576573354,0.6386364167392783,0.06849395211866714,1912,0.8716218997570458,0.015788702405765943,-76.49851535012195,ESP
0.14398323771065455,0.003352935637109231,0.0005014842010969893,0.637872489630609,0.06371110697495999,1913,0.8923159617534652,0.013161889059926875,-88.50848159175015,ESP
0.1350171539624466,0.0041084682374212915,0.00030744832317300993,0.6431708680572855,0.07176762244405352,1914,0.8810780044415747,0.013947315477276715,-84.68301667411751,ESP
0.1345328538238719,0.003212700909350504,0.0005632890149842376,0.6330461466334592,0.061418713388717364,1915,0.9119595774716891,0.010193767979610814,-105.37470965236471,ESP
0.12669164508393752,0.0037067002643788555,0.00037085576522011553,0.6374407609414279,0.06839334338971009,1916,0.9038221572992671,0.011077524023484489,-99.8873613074463,ESP
0.13546031572868256,0.004232117270532311,0.00026098738975908244,0.6639464227324599,0.07562651364171429,1917,0.8836559218935003,0.014125709898140104,-83.84419078283386,ESP
0.17663232317355482,4.9149073914350087e-20,0.008608863667282578,0.6427749856678276,0.022622885342116653,1918,0.7127011857210912,0.0198647507193725,-61.34147055994006,ESP
0.1420415514219637,0.0038019287869133925,0.0008614926115720342,0.6861790946165571,0.05535250219882884,1919,0.8504773989536827,0.015963647804521162,-75.77122977409417,ESP
0.16455706882889928,0.003951854135324719,0.0007136747457291272,0.6651248118111722,0.057656146786642194,1920,0.8999882022400324,0.010615921050606717,-102.69654125847288,ESP
0.15769212769017502,0.004345995214802646,0.0002254712639978778,0.7172328332850316,0.07642333421889341,1921,0.9099880717267038,0.01051661183322696,-103.31686033075127,ESP
0.13635312240827047,0.0035221240867464466,0.0003837042950016382,0.683463519207997,0.06752400437254802,1922,0.8819016444485949,0.01439570384871792,-82.59459402665433,ESP
0.13558779212157981,0.0029465382423641815,0.0005108181381013231,0.7105914956794078,0.06332716935074434,1923,0.9093057479130682,0.011327502259836926,-98.41454462389729,ESP
0.1206097747474386,0.002654724606977644,0.000573737066393642,0.6959679039162459,0.0606944494959055,1924,0.8956368607603308,0.012910542670103444,-89.78104226637592,ESP
0.11779587145969078,0.0024621388943363767,0.0005802726788467428,0.7132447935478352,0.060622475622768575,1925,0.9255124612821776,0.009189341235475318,-112.22104146099358,ESP
0.11386855242071221,0.002784694155972483,0.0004548524453551725,0.7312350168440526,0.06451046711947457,1926,0.9264008456871425,0.008905579889761157,-114.2912117732412,ESP
0.1059453096761806,0.0027011434293369384,0.00044546607843506556,0.7469794658130751,0.06524333942877984,1927,0.9035319041883139,0.012173794581374535,-93.65910870891614,ESP
0.11404470812712635,0.0026355596693381613,0.000407274173654692,0.7502466963087685,0.06564411359259685,1928,0.9232161688791292,0.009636871228395629,-109.08259338810072,ESP
0.10609472555388842,0.002368028980642338,0.000465033578107539,0.76803632851072,0.063600220833048,1929,0.9153752921805985,0.010868495749960948,-101.14465382794404,ESP
0.11709399147368747,0.0023101385645458465,0.0004374984344164834,0.8102199294397137,0.06362872844076728,1930,0.9352762619091348,0.00829158060734025,-119.00608141944699,ESP
0.11338793651681053,0.0023521859541213806,0.00045385471247766124,0.8317198282393775,0.06413528764620396,1931,0.9349541120180337,0.008395135029384576,-118.18690528633871,ESP
0.10481681159795202,0.002268949721140064,0.00034825429549900964,0.825542426969956,0.06767636673162129,1932,0.9200551037525568,0.010821897648208595,-101.42823369582774,ESP
0.09394701498126344,0.001984651081676817,0.0004685447953027069,0.7831490695146487,0.06305661740370373,1933,0.9350087705507404,0.008546344520866089,-117.00872112270221,ESP
0.09052282864465754,0.002153304197045372,0.0003694733220697259,0.8054778015089045,0.06642450115962885,1934,0.9281312856839913,0.009428117572720439,-110.5279959611344,ESP
0.08533934465798586,0.001954185463616786,0.0004271934041117074,0.7855069567252676,0.06404050346871216,1935,0.9433040306203893,0.007348599879381423,-126.97431506628541,ESP
0.08676819518307746,1.0908471578176483e-17,0.0019475117300485688,0.823467961649036,0.04071409952352681,1936,0.898520566752306,0.012442712842244906,-92.21704294346759,ESP
0.10558817792497076,2.3841350767915625e-15,0.002572750145716933,0.8123572257707053,0.03675943945892919,1937,0.8551643986501442,0.01617308060693037,-74.91098286468971,ESP
0.09770382710541883,0.0017590907053617866,0.0014404911928275021,0.8628646187018914,0.04695873958987115,1938,0.865651977361187,0.014952184300898718,-80.09137387746122,ESP
0.09565773362679084,1.7787593203334279e-13,0.0024494746410385396,0.765565139647514,0.03946080044018193,1939,0.914174452857601,0.009633849490670202,-109.10329159595918,ESP
0.09469260216178778,1.1144840804141308e-14,0.002011121521394406,0.7665490954975874,0.04016680636142568,1940,0.9215607308459282,0.009279983918515835,-111.57321431385262,ESP
0.10752058852044086,0.000851092795039593,0.0012247557032685165,0.9138458107539442,0.05284903108767857,1941,0.9466989939226066,0.007988573739760226,-121.4631543097855,ESP
