Age,qx,time_unit,subphylum
0,0.01970000000000005,centuries,Invertebrate
0.01,0.011863715189227686,centuries,Invertebrate
0.02,0.007236726645813429,centuries,Invertebrate
0.03,0.0018613647234989594,centuries,Invertebrate
0.04,0.002094033567045517,centuries,Invertebrate
0.05,0.002087987806151159,centuries,Invertebrate
0.06,0.0020818948381562397,centuries,Invertebrate
0.07,0.002096721775504018,centuries,Invertebrate
0.08,0.0020906216184983784,centuries,Invertebrate
0.09,0.002084473828273037,centuries,Invertebrate
0.1,0.0020888279354361883,centuries,Invertebrate
0.11,0.0020932002706359754,centuries,Invertebrate
0.12,0.002086997054897566,centuries,Invertebrate
0.13,0.0020913617206492763,centuries,Invertebrate
0.14,0.002085106382978652,centuries,Invertebrate
0.15,0.0020894631359003046,centuries,Invertebrate
0.16,0.0020938381334929534,centuries,Invertebrate
0.17,0.0020875262278935436,centuries,Invertebrate
0.18,0.0020918931096259863,centuries,Invertebrate
0.19,0.002085528154630145,centuries,Invertebrate
0.2,0.00208988667212473,centuries,Invertebrate
0.21,0.0020942634453873232,centuries,Invertebrate
0.22,0.0020878407615750882,centuries,Invertebrate
0.23,0.0020922089607250394,centuries,Invertebrate
0.24,0.0020857322875703632,centuries,Invertebrate
0.25,0.0020900916592280216,centuries,Invertebrate
0.26,0.0020944692920256136,centuries,Invertebrate
0.27,0.0020879337108377083,centuries,Invertebrate
0.28,0.002081347837041392,centuries,Invertebrate
0.29,0.002096666190983254,centuries,Invertebrate
0.3,0.002090071062416099,centuries,Invertebrate
0.31,0.0020834251951143967,centuries,Invertebrate
0.32,0.0020877749179802896,centuries,Invertebrate
0.33,0.002092142841329192,centuries,Invertebrate
0.34,0.002096529079634868,centuries,Invertebrate
0.35,0.0020898176967540927,centuries,Invertebrate
0.36,0.0020830548500645474,centuries,Invertebrate
0.37,0.002087403025060053,centuries,Invertebrate
0.38,0.0020917693908141244,centuries,Invertebrate
0.39,0.0020961540617188135,centuries,Invertebrate
0.4,0.0020893242271747825,centuries,Invertebrate
0.41,0.0020824421981583408,centuries,Invertebrate
0.42,0.0020867878131591855,centuries,Invertebrate
0.43,0.0020911516028394583,centuries,Invertebrate
0.44,0.0020955336814562076,centuries,Invertebrate
0.45,0.0020885831687438294,centuries,Invertebrate
0.46,0.0020929544782402054,centuries,Invertebrate
0.47,0.002085945514647247,centuries,Invertebrate
0.48,0.0020903057786103574,centuries,Invertebrate
0.49,0.0020832379469803985,centuries,Invertebrate
0.5,0.0020875868872015646,centuries,Invertebrate
0.51,0.0020919540229885625,centuries,Invertebrate
0.52,0.0020963394687736336,centuries,Invertebrate
0.53,0.0020892007941271107,centuries,Invertebrate
0.54,0.0020820079810306424,centuries,Invertebrate
0.55,0.0020979426253259215,centuries,Invertebrate
0.56,0.0020907380305248413,centuries,Invertebrate
0.57,0.0020834788276649086,centuries,Invertebrate
0.58,0.0020878287747126967,centuries,Invertebrate
0.59,0.0020921969236522564,centuries,Invertebrate
0.6,0.002084870632605984,centuries,Invertebrate
0.61,0.002089226399370925,centuries,Invertebrate
0.62,0.002093600404605933,centuries,Invertebrate
0.63,0.002086206286906478,centuries,Invertebrate
0.64,0.0020905676422647845,centuries,Invertebrate
