a1,a2,a3,b1,b3,Year,R2,RMSE,AIC,Country
0.19679674148168028,0.006221404799542694,4.688927524902664e-05,0.548232795448167,0.09470996189825626,1872,0.9588524270935891,0.003966074397048806,-167.67869398003225,ITA
0.19299355073194435,0.0058489309653911355,7.782873355735074e-05,0.5390208965889157,0.08631191565339705,1873,0.9580671501285376,0.004100314858709492,-165.48175350225782,ITA
0.19611567887968556,0.005792203302462694,6.824208918756101e-05,0.5437390185464147,0.08843484449260207,1874,0.9509265604840695,0.004931425085980117,-153.30051334492535,ITA
0.18812657430783442,0.005654451040823624,0.00010280899874142627,0.5542632235147018,0.08054961029778503,1875,0.933670163584916,0.006425066961419437,-135.8382965491106,ITA
0.1854030559071238,0.005570566613867189,8.469428916103926e-05,0.5577514869355144,0.08402761456330535,1876,0.9289454297040135,0.007028280351154407,-129.91578606110895,ITA
0.1924311153939062,0.005472390560100722,6.995939082438848e-05,0.5720327180937552,0.08754131433382414,1877,0.9339365085199854,0.0067631493997061904,-132.453709869635,ITA
0.19296346283662907,0.004972993136943447,0.00012222139089112561,0.5805286626454026,0.0788076914730408,1878,0.9302072374244259,0.007418154532578808,-126.3525615065341,ITA
0.19177038379810019,0.004945445806202301,0.0001937610704436746,0.5746796953603246,0.07080914949108062,1879,0.9142430700090426,0.00889799805159998,-114.34742534452855,ITA
0.20332991351649757,0.004926287204967593,0.00015671156586886882,0.5514085326059531,0.07324106418851486,1880,0.9126765645089289,0.009535257688203617,-109.78220859302601,ITA
0.22161053172183748,0.005151748211468328,0.00019416326556973438,0.5704167265712887,0.06911662707524957,1881,0.8950114530447475,0.011422528746415446,-97.86317969717501,ITA
0.2053047960967275,0.003588589415676995,0.0006747936777032333,0.5851310283103802,0.04900448660851137,1882,0.8810717472678241,0.012994537827900027,-89.35304129239225,ITA
0.19804976223424972,0.0023763956836821685,0.0013195994826666051,0.5796432253604712,0.03882542873504273,1883,0.8711967050942848,0.01413493313247887,-83.80111083682473,ITA
0.1873832652163069,9.022047928721437e-15,0.003105598761636274,0.5773849594657174,0.026538914225963137,1884,0.845584219611298,0.016654467402530366,-72.97518149831265,ITA
0.19194085769141647,8.491493539597797e-16,0.0031105860333951905,0.5966128980245782,0.026291678289263008,1885,0.8216843746818965,0.01977856804904259,-61.6284326700368,ITA
0.19108702418851217,1.2668406464918198e-13,0.0031980421153782585,0.6003789582337142,0.025093264611711106,1886,0.7931034404760255,0.02317041680098389,-51.182124440970284,ITA
0.1850600459531416,1.944812741282603e-17,0.00325213593617069,0.6110712847012607,0.024930863184519033,1887,0.7697486827336206,0.02565619456361021,-44.4561489994735,ITA
0.18245848369850132,4.3062951831440594e-18,0.0032016523407975145,0.617093653966785,0.02445904427295883,1888,0.747384394046845,0.028764675546300446,-36.90818803763071,ITA
0.18204951843959183,1.4104517650609667e-18,0.0033260709819598784,0.6258382283226935,0.02377878145543074,1889,0.7162025188177732,0.03259915683036798,-28.649058049827687,ITA
0.1859804093999608,5.663456875898952e-19,0.0031985554053024327,0.63807054416738,0.0239398644513246,1890,0.7018827842445363,0.035736559897335665,-22.584461429049952,ITA
0.17924598855431928,1.6990477396576275e-14,0.0034181531942388352,0.6431538003154835,0.022858106589587486,1891,0.6642225197963558,0.03968227983836589,-15.672249429374915,ITA
0.18081413910102562,0.005488075868666681,2.4346981849319805e-05,0.7148634632536968,0.10002057758519771,1892,0.6327608271754095,0.04596305564503391,-5.974658276942137,ITA
0.17775188454159788,0.0054828280593605516,1.7195142629083542e-05,0.7271145398064386,0.10547246902730958,1893,0.6162412625489874,0.04873795114350096,-2.1057333127128004,ITA
0.1760874186029149,0.005448054090308043,1.1463745579123665e-05,0.7335217275717413,0.11175593096124181,1894,0.6104251608694118,0.049931677429569665,-0.5086911379554806,ITA
0.1686510485055196,0.005504007821476152,6.442736686117886e-06,0.7290140729528725,0.12057890808858802,1895,0.6051265242332363,0.04985992532539646,-0.6036017228300921,ITA
0.15824286605470628,0.005529282901417916,3.0994378354317654e-06,0.7247413799327684,0.13281764723399986,1896,0.6236383626243739,0.04551229721493687,-6.625113208330674,ITA
0.15428209936038023,0.005321414781126677,3.623723208063987e-06,0.7088681541283469,0.1311013875309208,1897,0.6770941844386662,0.037606537450546124,-19.21822038903062,ITA
0.15323520487601658,0.0049781240467680656,8.006505255234961e-06,0.6977007757710254,0.1179504312412881,1898,0.7398927355071652,0.02895711726206363,-36.4681046763381,ITA
0.1491068681224961,0.004763399486840236,7.951265038793135e-06,0.6854285812298105,0.118849026171716,1899,0.8090813198771498,0.020660518460625832,-58.74914118357336,ITA
0.15207183126681187,0.004637732308901347,8.80714085063208e-06,0.7189516296546152,0.11652001081799138,1900,0.8523792867130827,0.015151694221045392,-79.21654656846297,ITA
0.17598319367785348,0.0045953928443523,6.2174082331507105e-06,0.7852147231355958,0.12199448184800558,1901,0.87577738081726,0.012529007760291864,-91.7608879709309,ITA
0.1480116767131518,0.004658114877899377,3.3304139872987684e-06,0.7668894885588969,0.1331489636333666,1902,0.8887998431026805,0.010982100874879873,-100.45835624673717,ITA
0.14044048446473237,0.004489360396370992,2.486174743624872e-06,0.7786451581005255,0.13733758176596422,1903,0.9040073515470612,0.009267286577260675,-111.66358067303739,ITA
0.14387526293138525,0.004477854127442816,1.7254698744142747e-06,0.789620782248806,0.14384160688623945,1904,0.9250868455076572,0.007260922363641439,-127.76650873517733,ITA
0.15368605534782942,0.004322421476013773,1.3481610750717932e-06,0.8097224887062778,0.14741057144406033,1905,0.9378939574804549,0.006189074078088785,-138.30811955778378,ITA
