a,b,c,Year,R2,RMSE,AIC,Country
1.0676839975434843e-06,0.15265708936530742,0.009080566994301424,1872,0.14725148334124405,0.08219352491905313,28.38708873141519,ITA
8.593064942663347e-07,0.15601795259144735,0.008947140265128842,1873,0.14786249008431607,0.08332446051917079,29.289019854055596,ITA
1.5018108777789037e-06,0.14695556364633333,0.008753441340813399,1874,0.14655532347204114,0.08576326682705641,31.193030061568322,ITA
1.018685070562257e-06,0.15215398298680488,0.00872966666162641,1875,0.14034882248714242,0.08327046586424451,29.246237670620843,ITA
1.0735709640938456e-06,0.15183302593306797,0.00850199490120828,1876,0.14992662769572807,0.08408402098159123,29.887930184902842,ITA
9.1275993011737e-07,0.15516704541217524,0.008286697631511073,1877,0.15823451945344846,0.08617446000676549,31.508711815651395,ITA
1.1500253995821193e-06,0.1520998418988971,0.007996935549595038,1878,0.16886136650763572,0.08834031773088938,33.14701375789508,ITA
1.3514841839533807e-06,0.14867732766150682,0.008295074877258762,1879,0.15658500849075419,0.08751135274934414,32.52476099336721,ITA
7.222552088019504e-07,0.15710701837214672,0.008245478885242312,1880,0.1290803591676648,0.0950998223369624,38.01322666120032,ITA
7.18558275519545e-07,0.15612292256836446,0.008634817806440237,1881,0.11248990022669914,0.09655919546839095,39.018350128310686,ITA
9.581668433916383e-07,0.15197882194148854,0.008030612107202668,1882,0.12536488504524468,0.09556584601040173,38.33586076689102,ITA
1.420916034846711e-06,0.1455995157813116,0.007885749095019526,1883,0.1260554497892531,0.09590707899022155,38.571104475745216,ITA
9.313460330198666e-07,0.15191880293473356,0.007934765925769983,1884,0.1248935849393884,0.09438433835379251,37.514798009995275,ITA
1.1370355708175572e-06,0.14809707073582054,0.007863985665660612,1885,0.11525553142122735,0.09813485860581334,40.08665227117805,ITA
8.32495058903092e-07,0.15215283412584737,0.007809219291685359,1886,0.10875663589727946,0.09981065062117754,41.20418119030347,ITA
9.6591216320302e-07,0.14993028235942193,0.007836474374601722,1887,0.11082295427217637,0.09907825743423117,40.71809909247003,ITA
8.812858645654413e-07,0.15050770384894518,0.00762260545853478,1888,0.10244128627088156,0.1022026532634747,42.76724213856926,ITA
1.0673705574699004e-06,0.14728934163777732,0.007715527622660571,1889,0.09749668630910113,0.10366845731109654,43.70709913651223,ITA
9.298436737549252e-07,0.14875465960047415,0.007477116050999269,1890,0.09457016898385107,0.10853766800064478,46.7364586642754,ITA
7.247035314012419e-07,0.15294224366332004,0.007692314581586392,1891,0.09468724644037285,0.10699012335850154,45.78864862948845,ITA
7.062062239000896e-07,0.15400153418340864,0.007455309628875381,1892,0.0972832552650279,0.11298255480434712,49.38544398929176,ITA
6.978480321406116e-07,0.15392116097955683,0.007325367953951599,1893,0.09526075661925404,0.1149032783836684,50.49802528840766,ITA
6.365462901427673e-07,0.15486510234986298,0.007177432284042054,1894,0.09282105002751384,0.11627282398937998,51.28003576905067,ITA
6.086754238255907e-07,0.15472735627360087,0.007107801135990402,1895,0.08967463607246007,0.11494505823442762,50.522019111648234,ITA
8.059107883807763e-07,0.15062479158564154,0.006973954610120436,1896,0.10001731063009134,0.10883223894049876,46.91533985537714,ITA
9.910533700670018e-07,0.1484946967886906,0.006754372686374268,1897,0.11902206786439751,0.1026012168296464,43.024124282087115,ITA
9.480750225093329e-07,0.14932879390509146,0.006495188137419056,1898,0.13246509384498384,0.09658057822970252,39.03296402399158,ITA
