A,B,C,D,E,F,G,H,Year,R2,RMSE,AIC,Country
0.08611764789930812,0.23272439648882395,0.32768167715456964,0.006635782868510059,6.629754531049507,24.277281426929644,0.0008062734714144593,1.0615296990028378,1818,0.977128712789661,0.0017512412066504007,-215.63052539666322,FRATNP
0.08784724031969608,0.24965331495266654,0.3284677504175542,0.006805201060848709,7.070143231635286,24.14149893296689,0.0009053253729518813,1.0600648599304219,1819,0.9772506737151563,0.001701014172140183,-217.55113545775205,FRATNP
0.08156484828327956,0.26270164968679166,0.31765252264285626,0.006493556690708928,7.836941589486274,24.045016473170893,0.0009727681647049858,1.0580923069899888,1820,0.9787905980994434,0.0015269309887407845,-224.67681317051708,FRATNP
0.0877975210772627,0.22677613593104332,0.33116095715738164,0.006584000612101724,8.068626316867682,23.936218482817004,0.0010336514680858383,1.0570576055189225,1821,0.9809067502647796,0.0014273751138449058,-229.12670862514264,FRATNP
0.08688829294581885,0.21319681451889422,0.327601146490213,0.006641708833073776,8.234239567316907,23.960253542745974,0.0009995826664392085,1.0577622601705123,1822,0.9802407172308174,0.0014884352239358332,-226.36208676180584,FRATNP
0.08819572511684581,0.22879520704282041,0.33171594209084837,0.006503661886660369,8.67337744538201,23.857097023347578,0.0010392164548467244,1.0569940161451505,1823,0.9788166305320218,0.0016142220644569695,-221.00765434178427,FRATNP
0.08843814109870501,0.22052903302959306,0.33207798683556944,0.006566647960385443,8.858795571388447,23.816516568764587,0.0010625700765152072,1.0569548396287787,1824,0.9749008422402419,0.00193306139484659,-209.11103459370284,FRATNP
0.08475936483568362,0.25911830245635165,0.3257584964176537,0.006493044743427138,8.749469548136936,23.800286264155545,0.001028256207860038,1.057340376927793,1825,0.9679420450608245,0.0024199737399375853,-194.28402056608311,FRATNP
0.09488804896085642,0.2854332665860681,0.3481703566089774,0.006714111526496654,7.8458746132892925,23.64793386784236,0.0009811407393451907,1.0585441586740534,1826,0.9678392263557674,0.0025473360013882978,-190.89878691847414,FRATNP
0.09812960740917531,0.3211194606262758,0.35776912597373145,0.006721436197354575,6.997235796693323,23.556726688255743,0.0009136408867648084,1.0599021415310539,1827,0.9695586980880417,0.0024529179777823635,-193.3915924342729,FRATNP
0.09530540485081522,0.30802009701899874,0.3555436639318954,0.006621370971317018,6.89305715315862,23.52269687677804,0.0009584746479018905,1.0590115238158457,1828,0.9676853851116821,0.0025906245711554005,-189.78662843871453,FRATNP
