a1,a2,a3,b1,b3,Year,R2,RMSE,AIC,Country
0.12245776986210315,0.006893312026972722,0.0002671967218459121,0.5563128489008798,0.07301892285531938,1816,0.9236118753153398,0.005753513914227828,-143.12445030744593,FRACNP
0.12676825690431345,0.006997164748428342,0.00023194678217669062,0.5674735636740192,0.07506183586630157,1817,0.9212622836019346,0.005989265726777822,-140.47401981491137,FRACNP
0.12574542891619556,0.006869292651328992,0.00022135046822782114,0.5717353592177918,0.07546232156162418,1818,0.9196074122217098,0.006155613854691929,-138.66590586463806,FRACNP
0.12355755519012715,0.007049794643660745,0.0002520322370981286,0.5568456491202453,0.0738590362823308,1819,0.919329495952373,0.006031900415008187,-140.00586203580983,FRACNP
0.11348794663904167,0.006897538300934053,0.00024979157393214646,0.551272996975788,0.07332179991526304,1820,0.9201702636492073,0.005747191685487047,-143.19701405326245,FRACNP
0.12930096602866326,0.007008885217185819,0.00024219381266077846,0.5680312705006507,0.073835710935713,1821,0.9251782582069964,0.005593527963273506,-144.98568826637919,FRACNP
0.13195054755153857,0.007189039287910403,0.0001999881653004153,0.5778042502301892,0.07708304140714853,1822,0.925325501052243,0.005625110782712816,-144.61407961813515,FRACNP
0.13213976496032745,0.007110668131234569,0.00019903015759883215,0.5805637052715619,0.07716210464575944,1823,0.9242786186574177,0.005770138113860498,-142.93402492246852,FRACNP
0.13105666697786444,0.007122137595145233,0.00021257003637093857,0.5733585047781146,0.07648219756033063,1824,0.9178841841201019,0.006324312357535125,-136.88147553501764,FRACNP
0.11637355705227516,0.006943982354344632,0.0002201485830858743,0.5501888405124461,0.07577852389333885,1825,0.9077147457960012,0.0069663798636209985,-130.4996457272441,FRACNP
0.12693999090149802,0.006903607475093165,0.00022371515484319294,0.5566750833528972,0.07598054823870036,1826,0.9099455153948423,0.007132882848492187,-128.9407403969952,FRACNP
0.12896982568095347,0.006750721410461403,0.00023003828275059747,0.5660148774737831,0.07573918997429291,1827,0.91496130977612,0.006852307019994266,-131.58932650016382,FRACNP
0.12943817111593606,0.0065746417113529566,0.000279621027216917,0.574824297521938,0.07253583173784837,1828,0.9156904508752944,0.0067589971379932775,-132.49424326881118,FRACNP
0.13113402689234857,0.006464519955217944,0.0003122167304513073,0.5914638751171681,0.07045155882400009,1829,0.915641055725228,0.0067036987075815395,-133.03644031090462,FRACNP
0.12420583281032459,0.006490750704971716,0.0003236178508466505,0.6009372665434376,0.06945648125858542,1830,0.9063980412902631,0.007186713578443111,-128.44451902217637,FRACNP
0.13746495425022046,0.00653305775271555,0.00037719500269452666,0.6209642674463781,0.0663566372887994,1831,0.8981564109739758,0.007866661497627577,-122.4781334551923,FRACNP
0.13764994161543098,0.006573682224082424,0.00029494929401106313,0.6401121630056978,0.0696817460588887,1832,0.8918699877988052,0.008443175283804507,-117.81030391296835,FRACNP
0.13672587287612387,0.00676177216495399,0.0002784269860805256,0.6406603498320961,0.07124659965240182,1833,0.8901161823730497,0.008601121533467702,-116.58705005855151,FRACNP
0.1297971353018834,0.006770045893855683,0.00027910037173012016,0.6291213457023191,0.07114105260977883,1834,0.8888643444951847,0.008516857756029929,-117.23682935055379,FRACNP
0.11625039687450112,0.006696674158835104,0.00030489258344436207,0.6071109218604049,0.06863500323772792,1835,0.8949839553081678,0.0074068674818261486,-126.45305990618428,FRACNP
0.12937879309011052,0.006920914395055911,0.00020711060912392102,0.6369749452233456,0.07536758198443781,1836,0.9136518483109953,0.006371051126114251,-136.39550714708687,FRACNP
