a,b,c,Year,R2,RMSE,AIC,Country
2.5812546210649145e-05,0.10990664175021019,0.007623335123049926,1908,0.6923174513676366,0.06850104482871738,18.71463362979614,ESP
3.4480318702870845e-05,0.10686908227882853,0.0075519567421875695,1909,0.6929828725832419,0.07166523949719258,22.372336628360898,ESP
2.799426850649608e-05,0.11016542106036176,0.0073244746446070414,1910,0.7130258730250609,0.06823946890459148,18.404737533606976,ESP
1.759861246124099e-05,0.11687155779090867,0.007436903289730491,1911,0.7095908655390758,0.070767444773593,21.35118988642904,ESP
1.97924952969954e-05,0.11447117398157283,0.007100138534310048,1912,0.7143957701209547,0.06879085420493652,19.05659982744956,ESP
2.0482092102587297e-05,0.11409521691788926,0.007197604316228315,1913,0.716507693313488,0.06770705743895844,17.77028882265435,ESP
1.9086858015183134e-05,0.11523888578379526,0.007367896610329071,1914,0.7236201850289892,0.06510998710018327,14.60217866075459,ESP
2.114186600109847e-05,0.11377478103757176,0.007114578895758285,1915,0.733265423704374,0.06313908496145011,12.112404037078676,ESP
1.9333112514736368e-05,0.1148979278985206,0.00707804171746887,1916,0.7405600428187781,0.06101478540540317,9.34027847996316,ESP
2.225219896372518e-05,0.11348189379961014,0.007310187024645139,1917,0.7286457388647325,0.06481446042256112,14.233692165302529,ESP
1.1694014581675579e-05,0.12151466053334244,0.01756659288287923,1918,0.638979718690799,0.04934133703876381,-7.860396272450771,ESP
2.733848051107689e-05,0.10991834913247714,0.008507207788351229,1919,0.7093131344093719,0.06147008398263235,9.942464771215555,ESP
1.955986476264835e-05,0.11447771841147314,0.008520442189220944,1920,0.7035463302887415,0.06287761482712297,11.776272217897116,ESP
1.6676533696663297e-05,0.11694191915229407,0.007223693635348208,1921,0.7290407977555167,0.06363092871602932,12.74093665085266,ESP
1.9412720732238908e-05,0.11440771341193741,0.0068190714860025484,1922,0.7237565543337523,0.06650115191208492,16.314625610943807,ESP
2.587815930413404e-05,0.11068896919775231,0.0064128865392945825,1923,0.7407619310468743,0.06388863665944625,13.068327538256966,ESP
2.7738676533146668e-05,0.10889895742019519,0.006143626948948222,1924,0.7389144243763348,0.06356837973283058,12.661274770465866,ESP
2.979654378614916e-05,0.10846700934678581,0.005839251198709535,1925,0.7599056541177955,0.06031462544329827,8.405408919706218,ESP
3.093092992244096e-05,0.10725227623475735,0.00579871348050207,1926,0.7630469363943886,0.057458525389369006,4.475999368919503,ESP
3.104590902304896e-05,0.10760872861013134,0.005630330745955569,1927,0.7674156981311672,0.0586703407681112,6.166545603801239,ESP
3.1159818672671874e-05,0.10641610810678226,0.005408110649470641,1928,0.7572860368047846,0.059677025058542436,7.544580403103765,ESP
3.653844324651297e-05,0.10436150127475304,0.005145130539590928,1929,0.7633705951185719,0.05982580367595052,7.746267247908435,ESP
3.22327934742313e-05,0.10556708030323651,0.0049567541685841664,1930,0.7601230881721435,0.06076338395067704,9.005841743572404,ESP
3.292366362820598e-05,0.1065644166116095,0.00504569067527262,1931,0.7806771144982487,0.05736412957054897,4.342818977826369,ESP
3.131196738971319e-05,0.10630846847769834,0.004589057038156699,1932,0.7730327111005312,0.060780253868250214,9.028326891404475,ESP
3.7415999253260343e-05,0.10378172066604256,0.004585131651950381,1933,0.7851840719182975,0.05630981742665467,2.8402454362833964,ESP
3.3733463191763276e-05,0.10503243247085237,0.004443291527746183,1934,0.7874498960893126,0.05640943217537509,2.9834116971557876,ESP
3.991449404194112e-05,0.10241005423933645,0.004327556773642758,1935,0.7931720800103857,0.054192734386889395,-0.26384056624414143,ESP
7.951120828853568e-05,0.09240774034240891,0.0050202040619104224,1936,0.767533128673253,0.054946867075603936,0.8555646572574176,ESP
4.842487698015592e-05,0.10008224604827531,0.006500630776829797,1937,0.7456877274589907,0.055600979846285835,1.8141315447108468,ESP
4.855601373576568e-05,0.10207521709859656,0.006501371513507001,1938,0.7880737411765322,0.04885919058810205,-8.655792738568834,ESP
9.326510940336489e-05,0.09202184448290346,0.0062125290340455715,1939,0.7748260191057725,0.049733768883811896,-7.218718519167567,ESP
6.682508773465926e-05,0.09500054024266134,0.00533788872964571,1940,0.7647684544905358,0.05416004801913941,-0.3127104855812206,ESP
0.00013689209453825207,0.08856090265534818,0.004658136980008843,1941,0.7952534708378414,0.05578704106655587,2.084734662269881,ESP
6.326215915254785e-05,0.0959604123137826,0.004355596942879101,1942,0.788674149882346,0.0544244722592222,0.08179152502006559,ESP
3.977467922606625e-05,0.10026993660717372,0.004066525725600987,1943,0.7914855903813973,0.05158189179403521,-4.263310407999114,ESP
4.759105179854005e-05,0.09774296358572439,0.0037910442956652106,1944,0.8052562793750023,0.049246614656003454,-8.016044406580306,ESP
3.724929568457773e-05,0.100186755585366,0.0036471357905930044,1945,0.8132284644166998,0.04624319717090919,-13.113071657985074,ESP
5.35695875829264e-05,0.09689542245805749,0.0033125153839997507,1946,0.8281574477453012,0.047312944987221085,-11.2606363674399,ESP
