A,B,C,D,E,F,G,H,Year,R2,RMSE,AIC,Country
0.0017096660383930957,0.005169517800339209,0.10704619021093899,0.0006872236170485968,12.203217940565183,20.81643932848741,5.2212517136321566e-05,1.0987993545699837,1963,0.9987141429070501,0.0006370354368297694,-350.1854647438452,CAN
0.0016524811971570176,0.006874892943968498,0.11064371721070614,0.0007024659316742758,14.764721247676507,20.521355503752563,5.6304578089688025e-05,1.0972664185770271,1964,0.9985943174127788,0.0007024247852670867,-342.2707082284824,CAN
0.0015526930339717494,0.005213180365204756,0.10244847668237299,0.000667867339561416,13.944083914877762,20.634904629343527,5.5399545697309445e-05,1.0974805215250352,1965,0.9982153405045933,0.000882189200170932,-323.8133826168659,CAN
0.0015073397594744773,0.004728650710043576,0.10061335048966094,0.0007045042081609619,13.811502931689423,20.4316020989236,5.8233967581074354e-05,1.0964100114507334,1966,0.998879454936512,0.0005430397493617698,-363.11652865551247,CAN
0.0015212012204293547,0.005285944813708504,0.10059007053971193,0.0007722947959142021,17.30515377562297,20.374993693658684,5.812937587391292e-05,1.096223502458136,1967,0.9982981331122338,0.0008223778858679589,-329.5001124443723,CAN
0.0013730828417448861,0.004762730676902247,0.09962659807182674,0.000727767081579777,15.361784295511502,20.235810129040374,5.828780847563545e-05,1.096068064297499,1968,0.9988408161158803,0.0005694996144602433,-359.2629062374313,CAN
0.001378851366636302,0.005177549673845074,0.09873316376802377,0.0007430159939530466,14.912609140298288,20.349040482413173,5.941985355903585e-05,1.095564777086284,1969,0.9984451846458271,0.0007515683560546948,-336.79317748790544,CAN
0.0012409603001006047,0.003060732591272403,0.09146073720005038,0.0006999097477972996,14.69925534490644,19.81292921079479,5.949225440017452e-05,1.0953461044811206,1970,0.9990661577602714,0.000450651194163529,-378.2221283916371,CAN
0.0012274710129829538,0.0041102547367156145,0.09207622562366378,0.0007388563965945023,15.491121748215166,19.852476363871784,6.038752975819812e-05,1.0946255342329738,1971,0.999130092994414,0.0004142406916111438,-385.0460907829751,CAN
0.0012774179325910318,0.006400433625645282,0.09765834528014457,0.0009447210224958419,17.614031910110683,19.58009285445233,6.207377851100742e-05,1.0943236163203207,1972,0.9983173497801362,0.0007979733554733077,-331.94022098729323,CAN
0.0011588924162314624,0.00612845999809077,0.09505673496651203,0.001005280043423401,17.481944996146012,19.64391627561968,6.07652977625019e-05,1.0945458637543708,1973,0.9983846489948917,0.0007728705764055748,-334.5292728672479,CAN
0.0011255152961471364,0.0061532577323573975,0.09508960600476457,0.0009850157025260728,16.32830821962502,19.549437588245986,6.019572940538977e-05,1.0946375205710677,1974,0.9989775257381327,0.0004909825212675654,-371.2792219727955,CAN
0.001167292408449133,0.008457545565435135,0.09792945714273257,0.0009061612228099703,15.464078432663808,19.662313638058485,6.003631488016397e-05,1.0943322499278831,1975,0.9985884333120371,0.0006742380719072747,-345.58806786832605,CAN
0.0010791589424351312,0.009882292991897683,0.09865413916502423,0.0008263998016272322,15.836913976741096,19.729320284259124,5.376665061059436e-05,1.095912088911472,1976,0.9982516119603312,0.0008725155144754019,-324.7064975362219,CAN
0.000909772465528336,0.0060293813054381135,0.09240633790878325,0.0008562060911827294,15.38794020723485,19.827443078634328,5.634390506705233e-05,1.0947733919890752,1977,0.9978422788524988,0.0010739478783498536,-307.8814765932055,CAN
0.0008986479211017938,0.0047286613968190346,0.08645145428788793,0.0008040270712215514,14.89042206470018,19.986352848873896,5.199398961156074e-05,1.0956764783924824,1978,0.9986767942112085,0.0006517601519841987,-348.33450585133284,CAN
0.0008512032288681953,0.006735174850812021,0.09030312040601167,0.0008839126292657239,14.067599625546874,19.940432241028834,5.163080612528239e-05,1.0953690987836002,1979,0.9983374162648616,0.0008204803631720934,-329.68722463960006,CAN
0.0008743094882976969,0.009326590379917706,0.09374817042847178,0.0007703939521406044,12.079812507794696,20.002288605209866,4.58305994466952e-05,1.0971689748752005,1980,0.9983589511477934,0.0008283504607780309,-328.9139703577477,CAN
0.0007662168855197671,0.008528110158369198,0.0915232999950872,0.0007555830697107829,12.526786576500676,19.90928442932494,4.56127851501827e-05,1.096741465364255,1981,0.9984232387517026,0.0008071908812295435,-331.0099388690738,CAN
0.0006786485930523711,0.005806250270339516,0.08624524173743416,0.0006247519851570057,9.491479947247473,20.442294146924638,3.7429305530398247e-05,1.0999421277784442,1982,0.998044093062757,0.0010448397482433027,-310.1071898801849,CAN
0.0006506879206568181,0.005705086503366848,0.08394423464564162,0.000652531058362199,12.781154203589425,20.513939801283886,3.7608091737369996e-05,1.0993630704714605,1983,0.9986759991374914,0.0007111057078926329,-341.2758042257072,CAN
0.0006403918133927446,0.005883565167245606,0.08311310665843241,0.0006076847221490327,12.402314793353574,20.397584126798886,3.445902864530321e-05,1.1004790575728838,1984,0.998438501729143,0.0008475590695217425,-327.0571094504525,CAN
0.0006428786852479238,0.011525560526763144,0.09416729995515181,0.0006051069515763905,9.636239301977145,20.561621256128607,3.530133083261943e-05,1.1000093764456578,1985,0.998166312699924,0.0010056317170772002,-313.20524584037395,CAN
0.0007210547416677124,0.02174724386833561,0.10490034106296484,0.0006104787965748899,10.958342885338325,20.41715072324379,3.5360546242740466e-05,1.099781434644813,1986,0.9982039614984315,0.0009940932576002462,-314.1399999708429,CAN
0.0006608494780417599,0.018545507650619596,0.09955328951539086,0.0006146098489460295,9.6264206251713,20.291781380675264,3.393151966104065e-05,1.1000082872876136,1987,0.9982622645115752,0.0009483220015818042,-317.958090011407,CAN
0.0005805471930049831,0.00876553763544511,0.08740250706077995,0.0006148119376032502,9.42306360687505,20.826446440542657,3.1197779256058836e-05,1.1011808230123983,1988,0.9986964515599741,0.0007118702309431024,-341.1887663899202,CAN
